,ReleaseDate,project,Media,Strain,Growth phase,Condition details,Reference,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_similar_replicates,passed_number_replicates,passed_replicate_correlations,PMID,doi,condition,full_condition_name,reference_condition,replicate,sample,n_replicates
SRX1726505,2016-11-03 16:17:00,ME_vs_LE,THY,5448_1,Mid-exponential,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_earlylog-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic,THY_None_WT_earlylog-planktonic,1.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,3.0
SRX1726506,2016-11-03 16:17:00,ME_vs_LE,THY,5448_2,Mid-exponential,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_earlylog-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic,THY_None_WT_earlylog-planktonic,2.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,3.0
SRX1726507,2016-11-03 16:17:00,ME_vs_LE,THY,5448_3,Mid-exponential,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_earlylog-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic,THY_None_WT_earlylog-planktonic,3.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,3.0
SRX1726508,2016-11-03 16:17:00,ME_vs_LE,THY,5448_1,Late-exponential,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_latelog-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic,THY_None_WT_earlylog-planktonic,1.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,3.0
SRX1726509,2016-11-03 16:17:00,ME_vs_LE,THY,5448_2,Late-exponential,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_latelog-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic,THY_None_WT_earlylog-planktonic,2.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,3.0
SRX1726510,2016-11-03 16:17:00,ME_vs_LE,THY,5448_3,Late-exponential,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_latelog-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic,THY_None_WT_earlylog-planktonic,3.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,3.0
SRX1726511,2016-11-03 16:17:00,ME_vs_LE,THY,5448_1,Stationary,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_earlystationary-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic,THY_None_WT_earlylog-planktonic,1.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,3.0
SRX1726512,2016-11-03 16:17:00,ME_vs_LE,THY,5448_2,Stationary,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_earlystationary-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic,THY_None_WT_earlylog-planktonic,2.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,3.0
SRX1726513,2016-11-03 16:17:00,ME_vs_LE,THY,5448_3,Stationary,WT,"SRX1726505, SRX1726506, SRX1726507",1.0,1.0,1.0,1.0,1.0,1.0,27933318,doi.org/10.1128/mSystems.00149-16,THY_None_WT_earlystationary-planktonic,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic,THY_None_WT_earlylog-planktonic,3.0,S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,3.0
SRX1081650,2015-11-06 17:15:00,ME_vs_S,THY,MGAS1272-1,Mid-exponential,WT,"SRX1081650, SRX1081651, SRX1081652",1.0,1.0,1.0,1.0,1.0,1.0,26258415,doi.org/10.1172/JCI82478,THY_None_WT_mid-exponential_OD1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0,THY_None_WT_mid-exponential_OD1.0,1.0,S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,21.0
