,iModulon,Gene
0,0,SP5448_02055
1,0,SP5448_02060
2,0,SP5448_02065
3,0,SP5448_02070
4,0,SP5448_02075
5,0,SP5448_02080
6,0,SP5448_02085
7,0,SP5448_02090
8,0,SP5448_02095
9,0,SP5448_02100
10,0,SP5448_02105
11,0,SP5448_02110
12,0,SP5448_02115
13,0,SP5448_09250
14,1,SP5448_00870
15,1,SP5448_00875
16,1,SP5448_00880
17,1,SP5448_00900
18,1,SP5448_02470
19,1,SP5448_02515
20,1,SP5448_03690
21,1,SP5448_03750
22,1,SP5448_03755
23,1,SP5448_03880
24,1,SP5448_03885
25,1,SP5448_03890
26,1,SP5448_04445
27,1,SP5448_04720
28,1,SP5448_06210
29,1,SP5448_06225
30,1,SP5448_06230
31,1,SP5448_06295
32,1,SP5448_06300
33,1,SP5448_06725
34,1,SP5448_06730
35,1,SP5448_06735
36,1,SP5448_08100
37,1,SP5448_08565
38,1,SP5448_08580
39,1,SP5448_08645
40,1,SP5448_08655
41,1,SP5448_08660
42,1,SP5448_08665
43,1,SP5448_08670
44,1,SP5448_08675
45,1,SP5448_08710
46,1,SP5448_08715
47,1,SP5448_08725
48,1,SP5448_08735
49,1,SP5448_08785
50,1,SP5448_08910
51,2,SP5448_02205
52,2,SP5448_02210
53,2,SP5448_02215
54,2,SP5448_02220
55,2,SP5448_02230
56,2,SP5448_02235
57,2,SP5448_02240
58,2,SP5448_02250
59,2,SP5448_02255
60,2,SP5448_02265
61,2,SP5448_02270
62,2,SP5448_02275
63,2,SP5448_02280
64,2,SP5448_02285
65,2,SP5448_02290
66,2,SP5448_02295
67,2,SP5448_02300
68,2,SP5448_02305
69,2,SP5448_02315
70,2,SP5448_02320
71,2,SP5448_02325
72,2,SP5448_02330
73,2,SP5448_02355
74,2,SP5448_02390
75,2,SP5448_02445
76,2,SP5448_02465
77,2,SP5448_02470
78,2,SP5448_02475
79,2,SP5448_02645
80,2,SP5448_02650
81,2,SP5448_02655
82,2,SP5448_03650
83,2,SP5448_03675
84,2,SP5448_03700
85,2,SP5448_03705
86,2,SP5448_03710
87,2,SP5448_03715
88,2,SP5448_03720
89,2,SP5448_03725
90,2,SP5448_03730
91,2,SP5448_03735
92,2,SP5448_04060
93,2,SP5448_04390
94,2,SP5448_04405
95,2,SP5448_04420
96,2,SP5448_04430
97,2,SP5448_04435
98,2,SP5448_04445
99,2,SP5448_04455
100,2,SP5448_04545
101,2,SP5448_04660
102,2,SP5448_04665
103,2,SP5448_04670
104,2,SP5448_06315
105,2,SP5448_06320
106,2,SP5448_06325
107,2,SP5448_06330
108,2,SP5448_07280
109,2,SP5448_08725
110,3,SP5448_00685
111,3,SP5448_02280
112,3,SP5448_02475
113,3,SP5448_02645
114,3,SP5448_02650
115,3,SP5448_02655
116,3,SP5448_03665
117,3,SP5448_03720
118,3,SP5448_03735
119,3,SP5448_07375
120,3,SP5448_08470
121,4,SP5448_01570
122,4,SP5448_01575
123,4,SP5448_03735
124,4,SP5448_04220
125,4,SP5448_04225
126,4,SP5448_07375
127,5,SP5448_05425
128,5,SP5448_05430
129,5,SP5448_05795
130,5,SP5448_08955
131,5,SP5448_08960
132,5,SP5448_08965
133,5,SP5448_08970
134,5,SP5448_08975
135,5,SP5448_08980
136,5,SP5448_08985
137,5,SP5448_08990
138,6,SP5448_00635
139,6,SP5448_00790
140,6,SP5448_00795
141,6,SP5448_00800
142,6,SP5448_00805
143,6,SP5448_00810
144,6,SP5448_00815
