,BSU39360
M9exp_1,7.5984
M9exp_2,7.4898
M9exp_3,7.3403
M9tran_1,7.6374
M9tran_2,7.6235
M9tran_3,7.5362
M9stat_1,10.588
M9stat_2,10.3295
M9stat_3,10.0406
MG-0.1_1,7.6029
MG-0.1_2,7.1324
MG-0.1_3,7.8196
MG-0.2_2,7.1995
MG-0.2_3,7.7013
MG+5_1,7.6126
MG+5_2,6.902
MG+5_3,7.5612
MG+10_1,7.3474
MG+10_2,7.1966
MG+10_3,7.9238
MG+15_1,7.1605
MG+15_2,7.7893
MG+15_3,7.2595
MG+25_1,7.3997
MG+25_2,7.4035
MG+25_3,7.4677
MG+45_1,7.6463
MG+45_2,7.539
MG+45_3,7.8075
MG+60_2,7.5833
MG+60_3,7.6851
MG+90_2,7.149
MG+90_3,7.4601
MG+120_1,7.6111
MG+120_2,7.6379
MG+120_3,7.4633
MG+150_1,7.5359
MG+150_3,7.5057
GM-0.1_1,7.7297
GM-0.1_2,7.4163
GM-0.1_3,7.7318
GM-0.2_1,8.2102
GM-0.2_2,7.8889
GM-0.2_3,7.2454
GM+5_1,7.303
GM+5_2,7.3536
GM+5_3,7.6121
GM+10_2,7.0684
GM+10_3,7.1832
GM+15_1,7.5358
GM+15_2,7.4012
GM+15_3,7.2881
GM+25_1,7.2889
GM+25_2,7.1889
GM+25_3,7.4285
GM+45_1,7.7817
GM+45_2,6.8908
GM+45_3,7.848
GM+60_1,7.5202
GM+60_2,7.4047
GM+60_3,7.7596
GM+90_1,7.7958
GM+90_2,7.9072
GM+90_3,7.6717
GM+120_1,8.26
GM+120_3,8.2261
GM+150_1,7.7399
GM+150_2,7.5438
GM+150_3,7.4521
BT_1,7.7108
BT_2,7.2802
B36_1,7.9146
B36_2,7.6511
B60_1,8.2999
B60_2,8.0587
S0_1,7.4645
S0_2,7.6986
S0_3,7.9198
S1_1,9.6266
S1_2,9.8565
S1_3,10.0358
S2_1,8.0542
S2_2,7.713999999999999
S2_3,7.6079
S3_1,7.6955
S3_2,7.8758
S4_1,8.4814
S4_2,8.3444
S4_3,7.8705
S5_1,8.3075
S5_2,9.2428
S5_3,8.7163
S6_1,9.7346
S6_2,12.2057
S6_3,9.1879
S6/t_1,9.9704
S6/t_2,11.6435
S6_4,8.7315
S6_5,9.2413
S6_6,9.0687
S7_4,9.6892
S7_5,10.3421
S7_6,9.5804
S8_4,10.5661
S8_5,11.1796
G135_1,7.4726
G135_3,7.4247
G150_1,7.5898
G150_2,7.502999999999999
G150_3,7.8383
G180_1,7.5199
G180_2,7.4931
G180_3,7.1477
T-5.40H_1,7.8523
T-4.40H_1,7.8715
T-3.40H_1,7.816
T-2.40H_1,7.6718
T-1.40H_1,7.5207
T-1.10H_1,7.4242
T-0.40H_1,7.1626
T0.0H_1,7.2881
T0.30H_1,8.3652
T1.0H_1,8.4034
T1.30H_1,9.3215
T2.0H_1,10.6743
T2.30H_1,12.2359
T3.0H_1,11.9875
T3.30H_1,12.9435
T4.0H_1,12.6526
T5.0H_1,11.7447
LBexp_1,8.2946
LBexp_2,8.3176
LBexp_3,8.0548
LBtran_1,8.006
LBtran_2,7.6286
LBtran_3,7.8288
LBstat_1,11.4213
LBstat_2,10.9991
LBstat_3,10.8104
LBGexp_1,8.0803
LBGexp_2,8.2222
LBGexp_3,8.1566
LBGtran_2,7.8667
LBGtran_3,8.0717
LBGstat_1,7.6089
LBGstat_2,7.6524
LBGstat_3,7.7734
Mt0_1,8.1859
Mt0_3,7.9566
M0t45_1,7.5646
M0t45_2,7.8441
M0t45_3,7.6004
M0t90_1,8.775
M0t90_2,9.377
M0t90_3,9.2595
M40t45_1,7.7142
M40t45_2,7.8531
M40t45_3,7.648
M40t90_1,9.2254
M40t90_2,9.4233
M40t90_3,9.3085
dia0_1,8.2202
dia0_2,8.0441
dia0_3,8.0211
dia5_1,8.106
dia5_2,7.9338
dia5_3,7.6693
dia15_1,7.5772
dia15_2,7.6154
dia15_3,7.5818
C30_1,8.2871
C30_2,8.9383
C90_1,7.7575
C90_2,7.3332
SMM_1,7.5173
SMM_2,7.348
SMM_3,7.2741
Salt_1,7.2072
Salt_2,7.08
Salt_3,7.2039
M+G_1,8.4069
M+G_2,7.5608
M+G_3,7.4462
Glu_1,7.4951
Glu_2,7.7451
Glu_3,7.7877
Fru_1,7.7481
Fru_2,8.027999999999999
Fru_3,7.6472
Mal_1,7.3566
Mal_2,7.5955
Mal_3,7.5489
G+S_2,7.8917
G+S_3,8.0964
Pyr_1,7.7073
Pyr_2,7.8505
Pyr_3,7.7521
Gly_1,7.8769
Gly_2,8.0581
Gly_3,7.9628
Glucon_1,8.0075
Glucon_2,7.7931
Glucon_3,8.2585
BI_1,8.3502
BI_2,8.2599
BC_2,15.0853
BC/t_1,15.2454
BC/t_2,15.1945
