,A,sigH,Rv1828
R2,,0.10675090543812416,0.01921769548418084
xmin,,-2.8738657449,-3.2928379237
xmid,,,-0.9666559293075588
xmax,,2.5959174634,1.4573136751
ystart,,8.179713751275052,3.1613425472240726
yend,,-6.2592205638563465,-2.0768214274820433
AX:AX_10_MIC:1,0.4498638821,0.0583772264,-0.0092549829
AX:AX_10_MIC:2,1.2233896428,0.1342711997,0.1516319918
AX:AX_30_MIC:1,0.6186118011,0.103076394,0.0391772862
AX:AX_30_MIC:2,1.6440714982,-0.023874720800000002,0.1658298571
AX:QZ_10_MIC:1,0.7572361394,0.0765806745,0.0632491493
AX:QZ_10_MIC:2,1.5144095292,0.0151449672,0.2010368377
AX:QZ_30_MIC:1,1.3032173785,0.0032807742000000003,0.0030344654
AX:QZ_30_MIC:2,1.1757850193000001,0.2081401239,0.0425558079
AX:wt:1,-0.8579652360000001,0.3483013232,-0.0717883513
AX:wt:2,0.8579652360000001,-0.3483013232,0.0717883513
ITM_04:00h_clinic_ctrl:1,1.2405896263,-0.30465752560000003,0.2495413229
ITM_04:00h_clinic_ctrl:2,1.7002553709,-0.36598790200000003,0.1493476108
ITM_04:00h_h37rv_control:1,0.5223754708,-0.10331236020000001,0.0035306071000000003
ITM_04:00h_h37rv_control:2,-0.27392452240000004,-0.042317470100000004,-0.0269125937
ITM_04:00h_h37rv_control:3,-0.24845094850000002,0.1456298303,0.0233819867
ITM_04:06h_clinic_delam:1,-0.0734142354,-1.0073581019,0.626612206
ITM_04:06h_clinic_delam:2,-0.1824909057,-1.1289458684,0.6271225073000001
ITM_04:06h_clinic_delam:3,-0.3912882265,-0.8239116669000001,0.6268334671
ITM_04:06h_clinic_DMSO:1,0.0218952562,-1.0084564054,0.5177146051
ITM_04:06h_clinic_DMSO:2,-0.1360542777,-0.7858569042,0.378301115
ITM_04:06h_clinic_DMSO:3,0.06327565710000001,-1.048449355,0.5398105138
ITM_04:06h_h37rv_delam:1,-1.2072952953,-1.0660539273,0.8081419175000001
ITM_04:06h_h37rv_delam:2,-1.2767381967,-1.0405838943,0.7779172119000001
ITM_04:06h_h37rv_delam:3,-1.6796503547000001,-1.1815057387,0.8373841838
ITM_04:06h_h37rv_DMSO:1,-1.8008106764,-0.9422664307,0.1978317582
ITM_04:06h_h37rv_DMSO:2,-2.0081544593,-0.7348053946,0.3725130621
ITM_04:06h_h37rv_DMSO:3,-1.7118464136,-0.6623702048,0.2211580995
ITM_04:24h_clinic_delam:1,-3.2726708416,-0.9979356082,0.3694662603
ITM_04:24h_clinic_delam:2,-3.1466614827,-1.089088914,0.5490003858
ITM_04:24h_clinic_delam:3,-3.4898454121,-1.307374409,0.31957845300000004
ITM_04:24h_clinic_DMSO:1,2.7466383798000003,-1.1483072521,0.4807758693
ITM_04:24h_clinic_DMSO:2,3.3202087668,-1.3428662889,0.4552660684
ITM_04:24h_clinic_DMSO:3,2.9864629689,-1.2229595377,0.5784483094
ITM_04:24h_h37rv_delam:1,-2.0856949093,-1.5392303591,0.7767499438000001
ITM_04:24h_h37rv_delam:2,-2.6298945639999998,-1.4222940951,0.7299124962
ITM_04:24h_h37rv_delam:3,-2.695980166,-1.5240568855,0.6695365790000001
ITM_04:24h_h37rv_DMSO:1,5.4458791986,-1.7160331800000002,0.3534196101
ITM_04:24h_h37rv_DMSO:2,4.3738677462,-1.361497108,0.3967774988
JSF:DMSO:1,0.5810661369,-0.0529820497,0.0428381605
JSF:DMSO:2,0.0161678012,0.0638539899,-0.042201663300000004
JSF:DMSO:3,-0.3931228639,-0.0180583965,-0.0165798247
JSF:DMSO:4,-0.20411107420000002,0.0071864562,0.0159433275
JSF:JSF_2019:1,-3.5254206442,-0.1453999322,0.5204444954
JSF:JSF_2019:2,-4.8428643769,-0.1533765702,0.4782385967
JSF:JSF_2019:3,-3.541702055,-0.1523125876,0.48054155060000003
JSF:JSF_2019:4,-3.4929111765,-0.153426157,0.42141401440000004
JSF:JSF_2026:1,-5.8318363807,-0.27789061200000004,0.2099066857
JSF:JSF_2026:2,-7.0448117902,-0.2890163615,0.1864625748
JSF:JSF_2026:3,-6.6881794962,-0.2133824799,0.0782378457
JSF:JSF_2026:4,-6.5131329795,-0.2204069491,0.1772935671
