,-0.08440197412099772,-0.050641184472598626,-0.016880394824199535,0.01688039482419955,0.050641184472598647,0.08440197412099774,0.11816276376939681,0.1519235534177959,0.18568434306619502,0.2194451327145941,0.2532059223629932,0.2869667120113923,0.32072750165979136,0.3544882913081905,0.38824908095658955,0.4220098706049886,0.45577066025338775,0.4895314499017869,0.5232922395501859,0.557053029198585
thresh,-0.10128236894519727,0.10128236894519727,15,,,,,,,,,,,,,,,,,
unreg,0,27,1908,1833,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PurR,0,0,7,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,88,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PepA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis,0,1,51,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RutR,0,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArgR,0,4,25,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PurR and Fis,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PurR and ArgR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Fis,0,0,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and ArgR,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis and RutR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fis and ArgR,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHF, Fis, and ArgR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PurR, IHF, PepA, Fis, RutR, and ArgR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],['pyrE' 'uraA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
PurR_genes,[],[],['purK' 'purT' 'purA' 'ubiX' 'purN' 'purR' 'purF'],"['purE' 'hflD' 'glyA' 'gcvP' 'gcvH' 'purD' 'gcvT' 'codA' 'glnB' 'purL'
 'purC' 'purB' 'purM' 'speB' 'codB' 'purH' 'prs' 'speA']",['pyrC'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
