,A,Fis,PurR,ihfB,ArgR,PepA,RutR
R2,,0.2941074510230862,0.28451809463319777,0.09967283085359901,0.03630957449394656,0.03155889955638269,0.0008175242064371036
xmin,,-4.8936592304,-8.216346238,-3.9178110457,-3.7793584976,-3.4010481596,-3.691673735
xmid,,,-4.145715004450578,-2.385772521161101,-1.5950753844419745,,
xmax,,4.361795663,3.4450354554000002,3.3245249795,2.4028450293,1.7487122097999999,2.5382873179
ystart,,-7.540813188905613,-6.358351627730098,2.165488287974344,-2.393164488542272,-4.008491213385424,-1.4474846559397543
yend,,5.551664834405353,4.977576180354471,-5.197111363867117,1.577386084669844,1.0503327435676426,-0.4050935952653726
aat__00m_00s__1,-0.4541768934,0.1452799267,0.0503800698,-0.1131958483,-0.0583787237,0.10222632250000001,-0.1109994878
aat__00m_30s__1,-0.0577164961,0.032152022100000004,-0.1332543878,0.0772468121,-0.0131581787,0.0828811854,-0.2463868059
aat__01m_00s__1,0.39684772760000003,-0.11344229280000001,0.0014101016,0.0671979825,-0.0875909674,0.2608892627,0.1914167635
aat__02m_00s__1,0.1804818565,-0.6030691047,-0.31710006900000004,-0.031233225400000002,-0.23768591020000002,0.31308702180000003,-0.07144165820000001
aat__05m_00s__1,1.2952302273,-0.7040569003,-0.1236172609,0.0201842575,-0.1886116535,0.5267196534,0.2913955189
aat__10m_00s__1,3.400619596,-0.3000441569,-0.14434727760000002,-0.1696861744,-0.0747215526,0.2750037724,0.0677730681
aat__00m_00s__2,0.4334294671,-0.1565872788,-0.09620490450000001,0.030994294500000002,-0.06323962030000001,0.0012202147,-0.1989153108
aat__00m_30s__2,0.1720841264,0.0544366627,0.307580633,0.0539088152,-0.1254944322,0.3078896611,-0.252129977
aat__01m_00s__2,0.5813233808,-0.2428967066,0.0299441572,0.1097352022,-0.1527282579,0.46692155230000004,-0.0703204785
aat__02m_00s__2,0.1483379795,-0.7952871017,-0.047903106,0.2340397233,-0.14131584390000002,0.4774258315,0.025208866700000002
aat__05m_00s__2,0.0287911681,-1.2037749275,-0.0525267936,0.2579735379,-0.4905410738,0.6410950396,0.3300790044
aat__10m_00s__2,-0.7403931302000001,-0.8523048087,0.1386270393,0.5504911606,-0.5168471425,0.5739700706,0.40885971060000004
aat__00m_00s__3,0.0207474263,0.011307352100000001,0.0458248346,0.0822015539,0.121618344,-0.10344653720000001,0.3099147986
aat__00m_30s__3,-0.8966292613,0.29622605760000004,0.036710582400000004,0.4189166854,0.2081089964,0.0862305922,0.18258971000000002
aat__01m_00s__3,0.5448896934,0.0283022157,-0.1347482753,0.2529822276,-0.052939910300000004,0.207206424,-0.07217895490000001
aat__02m_00s__3,-0.1611155337,-0.43191519440000004,-0.3814392776,0.39341672120000004,0.0271866251,0.2592871498,0.1033415649
aat__05m_00s__3,-0.8847484538,-1.1986122972,-0.1729125155,0.2673414086,-0.1351088164,0.4751380871,0.0066736677
aat__10m_00s__3,-0.7363755904,-1.2380068344,0.0328515393,0.42329341260000003,-0.5500112825,0.4708287987,0.3599690252
abx_mega__dmso-2__1,-0.8004311772,-0.1179993382,-0.6308545497,2.297485246,1.5976385374,-0.4621688319,-1.422389028
abx_mega__ery_dmso__1,-0.0631038324,0.7771395971,0.9642391604,-1.5657193052,0.0297902829,-0.12110889470000001,0.42208026790000003
abx_mega__nal_naoh__1,0.6474998371,0.1724641512,-0.8345776685,1.171465281,1.1107730127,-0.1101992345,-2.1098166907
abx_mega__dmso-5__1,-2.0064919563,-0.4379147116,-0.2068950134,0.294111116,0.1900290871,-0.46796801260000004,-0.5370535789
abx_mega__rif_dmso__1,-1.5595383041000002,1.7759768752,-0.6537740621,0.9331627303000001,0.6687011066,-0.449284868,0.371013386
abx_mega__novo_h2o__1,-3.4101663031,0.1268043401,-3.1097509295,-1.5948301920999999,-1.9989350623000002,-3.4010481596,-1.4711385249
abx_mega__rach_dmso__1,0.3017200982,0.08683377910000001,0.3344845464,-0.6969566792,0.22026550490000002,-0.7019370049,0.1701819836
abx_mega__metro_dmso__1,-0.1275638302,0.147434414,-0.0095377874,-0.24371025970000001,0.1051962433,-0.5703684672,0.3993190229
abx_mega__dmso-6__1,-1.7316109028,-0.7709696535,-0.885687412,0.3294536628,-0.034011771600000004,-0.8129746605,-0.027044042900000002
abx_mega__chl_h2o__1,3.5207149461,1.8644089753,1.2463405374,-1.0253066066,-0.36295747370000003,-0.1712275311,0.1409282813
abx_mega__cst_h2o__1,1.8629357631999999,-0.3006031253,-0.48759685680000003,-1.1929652783,-0.0332195354,-0.052651626800000004,-0.44162988550000004
abx_mega__tec_h2o__1,3.1048281686,0.5347225265000001,0.1322098291,0.8805616572,0.9613573160000001,0.0505743701,-0.5563985823
abx_mega__str_h2o__1,3.1351498848,-0.315531422,0.7614907853,1.9132335694,1.6385813446,-0.1308570555,-0.6987818577
abx_mega__ctx_h2o__1,1.3034482223000001,-0.27706315800000003,-0.1629441797,-1.1279696429000001,-0.1757073973,0.016092477,0.11369187200000001
abx_mega__nal_naoh__2,8.222717154,-1.0515561892,-0.654276249,-0.9605612867000001,-0.4169770313,-0.3303182918,-0.6208275674
abx_mega__phos_h2o__1,0.7792622673,0.45988812300000004,-0.22661067740000002,-0.7856317823000001,-0.4513131969,-0.5380092841,-0.3922796177
abx_mega__dmso-5__2,-2.2896840964000003,-0.1227531806,-0.48338569680000004,0.10447339950000001,0.2276200977,-0.2810326517,-0.3831235593
abx_mega__polmyx_h2o__1,0.7174805264,-0.7439088252,0.46313978380000004,-1.1566112913,-0.2786004173,0.2132695984,-0.1762340966
abx_mega__h2o-8b__1,-0.3045246753,-0.3382359766,-0.7300334133,-0.5151260577,-0.3437768536,-0.4090950934,-0.0277415076
abx_mega__h2o-6__1,6.2739770603,-0.46712865400000003,-0.17031202410000001,-0.3442757495,-0.2480173803,-0.1793692912,-0.45461182040000003
abx_mega__thio_dmso__1,3.2341131552,1.2231535145,0.8478450377000001,-2.3813583609,-0.3200426361,-0.4046635865,-0.7857298952
abx_mega__phos_h2o__2,2.1850570243,-0.8780742082,-0.12258929730000001,-1.0600417401,-0.49734556220000004,0.0378450511,-0.071558329
abx_mega__ctx_h2o__2,3.1767811724,-0.3190684022,0.5567196176,-2.7828060503,0.0016889905,0.1559824786,-0.7290897063
abx_mega__lzd_dmso__1,2.3618390698000002,0.9380870463000001,0.7572153494,-0.938501404,-0.040309280100000004,-0.39833628790000003,-0.6617938336
abx_mega__naoh-9__1,1.8170672395,-0.5544290879,0.18353017430000002,-1.1086632386,-0.290985849,0.06622197860000001,0.21402540250000002
abx_mega__dox_dmso__1,0.5836751881000001,0.499138858,0.7504058657,-1.5186830960000002,-0.34144699710000004,-0.283416561,-0.48384160860000003
