gene_id,USA300HOU_RS00255
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,<i> Not Available </i>
regulator(s),Genomic Island 1
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN000802000"">AureoWiki</a>"
