,tufB
Cr_1,0.011077385811414648
Cr_2,0.025910150216489
Cr_3,0.04363587261859568
Cr_4,0.05901045423092615
Cr_5,0.06402118489959806
Cr_6,0.06712020040764602
Fe_1,-0.009433147282243209
Fe_2,-0.02891925077222656
Fe_3,-0.03767920931834634
Fe_4,-0.052864399065221473
Fe_5,-0.06137426899752426
Fe_6,-0.06731973323824841
Cd_1,-0.02357017539315852
Cd_2,-0.012720874825365474
Cd_3,0.00575095428280949
Cd_4,0.04638233157921883
Cd_5,0.06832649233489824
Cd_6,0.0835863044477195
Zn_1,-0.011905417617999963
Zn_2,-0.0077474333764513065
Zn_3,-0.0023818292513019326
Zn_4,-0.001580535088850058
Zn_5,-0.002660734306461705
Zn_6,-0.0020802244099546144
Cu_1,0.005792136118134025
Cu_2,0.01490722658696171
Cu_3,0.02566675698029744
Cu_4,0.03367196407707522
Cu_5,0.03985898445501063
Cu_6,0.04325335198170562
Pb_1,0.020947168902891385
Pb_2,0.02062256773259747
Pb_3,0.03178916374730703
Pb_4,0.030054866615657094
Pb_5,0.02788632367270772
Pb_6,0.024272675429813997
