,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
0,aat__00m_00s,-2.3129646346357427e-18,0.03740136030106665,3.0,0.0,0.0344951212,6.0,0.005256366,12.0,-0.039751487200000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,0.23869560676666665,0.08248934931201465,3.0,1.0,0.1435731223,7.0,0.2819816342,13.0,0.2905320638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,0.23986615023333333,0.0485318852474184,3.0,2.0,0.2534372822,8.0,0.2801678667,14.0,0.1859933018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,0.3766971333333333,0.0963210673350908,3.0,3.0,0.283920339,9.0,0.4762089513,15.0,0.3699621097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,0.4676420275666667,0.13012228553223165,3.0,4.0,0.3175329239,10.0,0.5370175003000001,16.0,0.5483756585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,0.39536076516666663,0.18998816300827753,3.0,5.0,0.17602055360000002,11.0,0.5086233319,17.0,0.50143841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,-0.3774991404,0.10490742469690695,2.0,18.0,-0.4516798918,71.0,-0.303318389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,-1.8927785021999999,0.10016254480343648,3.0,19.0,-1.8893970692000002,70.0,-1.9945889461,205.0,-1.7943494913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,0.040733876687500004,0.17001045152456928,8.0,20.0,-0.1701238306,32.0,0.2016373309,55.0,0.2201400917,67.0,0.1490464558,126.0,-0.054980210200000004,147.0,0.0426535923,203.0,0.1538530863,210.0,-0.2163555027,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,0.013591088433333334,0.13635162713959234,3.0,21.0,0.1340371706,34.0,0.0411821817,61.0,-0.13444608700000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,-0.9442152784125,0.4336165676287503,8.0,22.0,-0.8477189713000001,104.0,-0.659556922,111.0,-1.3897674496999999,133.0,-1.5399098517,165.0,-0.1829334597,238.0,-0.8986833081000001,265.0,-0.8174938777,270.0,-1.2176583871,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,-0.12039211317142859,0.28084873682326306,7.0,23.0,0.1307715067,56.0,0.1874058842,82.0,-0.09237995040000001,118.0,-0.2527058608,134.0,-0.3411830033,137.0,-0.5697764494,227.0,0.09512308080000001,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,-0.17172010070000002,0.08333668828399657,4.0,24.0,-0.2340068764,101.0,-0.1227589166,139.0,-0.25011430100000004,149.0,-0.0800003088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,-0.28975152130000004,0.15290262249843226,4.0,25.0,-0.33700626310000004,123.0,-0.3804310446,155.0,-0.3791651303,191.0,-0.0624036472,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,-0.19960519916666666,0.12180350698167702,3.0,26.0,-0.2857852433,59.0,-0.0602559214,159.0,-0.2527744328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,abx_mega__chl_h2o,-2.8158220777,0.09491513432639125,5.0,27.0,-2.9247054987,76.0,-2.788252041,146.0,-2.8414442095,162.0,-2.6700349591,262.0,-2.8546736802,,,,,,,,,,,,,,,,,,,,,,,,,,
16,abx_mega__cst_h2o,-0.31173888935,0.31642291950704005,4.0,28.0,0.0899715865,94.0,-0.24882076420000002,186.0,-0.6604587882,231.0,-0.42764759150000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,abx_mega__tec_h2o,-1.3584884905666668,0.3639669536848577,3.0,29.0,-1.6070723407,49.0,-0.9407234058,260.0,-1.5276697252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abx_mega__str_h2o,-0.32033679176,0.4310712529141552,5.0,30.0,-0.5390842036,77.0,-0.46271994780000003,172.0,0.1259657223,259.0,-0.8489028276,280.0,0.1230572979,,,,,,,,,,,,,,,,,,,,,,,,,,
19,abx_mega__ctx_h2o,-0.31546120450000004,0.1708999891965802,4.0,31.0,-0.0980165268,40.0,-0.5157335737000001,138.0,-0.31765341210000003,192.0,-0.3304413054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,abx_mega__phos_h2o,0.07665345929999999,0.2390086194845936,7.0,33.0,-0.2490351859,39.0,0.2066153554,58.0,0.3866879371,122.0,-0.0309958632,170.0,-0.1972134109,244.0,0.1840419059,261.0,0.23647347670000002,,,,,,,,,,,,,,,,,,,,,,
21,abx_mega__polmyx_h2o,-0.4514514706428571,0.29349433584190504,7.0,35.0,0.0231238538,79.0,-0.1729404675,92.0,-0.6950204566,208.0,-0.732440443,251.0,-0.5778881676000001,263.0,-0.6676717403,299.0,-0.3373228733,,,,,,,,,,,,,,,,,,,,,,
22,abx_mega__h2o-8b,0.1008351927,0.16250845023241947,3.0,36.0,0.0476350313,234.0,0.2832759084,275.0,-0.0284053616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,abx_mega__h2o-6,0.26790658100000003,0.02028896931408215,3.0,37.0,0.24713669740000002,214.0,0.2689052974,307.0,0.2876777482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,abx_mega__thio_dmso,-1.4281132082499999,0.09766456541943623,4.0,38.0,-1.5465123927,102.0,-1.4531793695,248.0,-1.3992598427,269.0,-1.3135012281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,abx_mega__lzd_dmso,-1.521656212625,0.4948333608908003,4.0,41.0,-1.8223907651,178.0,-1.9463157999,249.0,-1.4757436121,309.0,-0.8421746734000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,abx_mega__naoh-9,0.2922933172,0.0963515132547228,2.0,42.0,0.36042412560000003,294.0,0.22416250880000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,abx_mega__dox_dmso,-0.4243555634375,0.6231417735419891,8.0,43.0,-1.3002511837,142.0,-0.025511662,166.0,-0.3972091841,177.0,0.2665585241,221.0,-1.4072956342,256.0,-0.2166458346,282.0,0.1271493457,305.0,-0.4416388787,,,,,,,,,,,,,,,,,,,,
28,abx_mega__phos_ethanol,0.27737266455,0.0856275919860347,2.0,44.0,0.3379205155,154.0,0.2168248136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,abx_mega__teix_dmso,-0.13206163491111114,0.2908843811915814,18.0,45.0,-0.6834405493,54.0,-0.14661147630000002,106.0,-0.1455592358,108.0,-0.0665078507,135.0,-0.0340696975,143.0,0.1480773849,150.0,0.0001683552,183.0,-0.3208467193,204.0,0.1414549701,226.0,-0.0864598209,253.0,0.2231626615,255.0,0.0065499987,257.0,-0.6082655704000001,264.0,0.10364661430000001,268.0,-0.1637807405,284.0,-0.7911037301,300.0,0.035948117,306.0,0.0105278607
30,abx_mega__dmso-10,0.13960260063333332,0.07853755805643421,3.0,46.0,0.1656640608,57.0,0.0513472187,66.0,0.2017965224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,abx_mega__van_dmso,-0.93339389406,0.06103188316012458,5.0,47.0,-0.9934080376000001,72.0,-0.9213934478,112.0,-0.94657928,156.0,-0.8353134788000001,212.0,-0.9702752261,,,,,,,,,,,,,,,,,,,,,,,,,,
32,abx_mega__ramo_h2o,-0.28196160800000003,0.07604379766844663,3.0,48.0,-0.3443110079,184.0,-0.3043319677,266.0,-0.1972418484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,abx_mega__h2o-7,-0.0201850371,0.04280678614242658,3.0,50.0,-0.0040549861000000005,245.0,-0.0687134662,258.0,0.012213341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,abx_mega__cro_h2o,-0.200928305775,0.10394633465145586,4.0,51.0,-0.1478341465,119.0,-0.30657057660000003,120.0,-0.2669976047,278.0,-0.0823108953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
