,efp
Cr_1,0.0059775866054416
Cr_2,0.013231619404190974
Cr_3,0.022932616628903918
Cr_4,0.028436154578753293
Cr_5,0.03540476521937321
Cr_6,0.03634369479725453
Fe_1,-0.007012223094429831
Fe_2,-0.0014359143760799694
Fe_3,0.013686410343497213
Fe_4,0.029118544350687545
Fe_5,0.042827973163026264
Fe_6,0.06455538831297293
Cd_1,-0.0001420175722732051
Cd_2,0.002820587557177805
Cd_3,0.009773810707846215
Cd_4,0.01432707223440905
Cd_5,0.012563632144428578
Cd_6,0.014120614555413762
Zn_1,-0.004989495820350068
Zn_2,-0.008566785532060086
Zn_3,-0.00988391045424739
Zn_4,-0.013146782007841569
Zn_5,-0.01527828630598656
Zn_6,-0.014609140733011903
Cu_1,0.004074943088669378
Cu_2,0.007917277796744263
Cu_3,0.011157043442073165
Cu_4,0.014524476723479332
Cu_5,0.022436801520768324
Cu_6,0.03173564206274364
Pb_1,0.003089476467802202
Pb_2,0.013320392020249441
Pb_3,0.02077061541148221
Pb_4,0.03309534800276489
Pb_5,0.04009049150307342
Pb_6,0.05015536406218174
