,yciS
Cr_1,0.0007142237153905702
Cr_2,0.0035530853953547217
Cr_3,0.00438514950596264
Cr_4,0.006478704247457025
Cr_5,0.010039834650586272
Cr_6,0.010877500532848857
Fe_1,-0.002172813979808655
Fe_2,-0.0043771233382226046
Fe_3,-0.0003693185481969314
Fe_4,0.013518705586258242
Fe_5,0.029916120896510138
Fe_6,0.05005335677975048
Cd_1,-0.00038666968878053816
Cd_2,0.0004189001859548102
Cd_3,0.0010978536136279431
Cd_4,0.00033094987448598024
Cd_5,-0.001590699246997371
Cd_6,0.0018444230568581
Zn_1,-0.0018045991651666922
Zn_2,-0.004234133770129584
Zn_3,0.0015860408591280757
Zn_4,0.02182017416911416
Zn_5,0.039796732547090416
Zn_6,0.053819057172598064
Cu_1,0.0036276495327736335
Cu_2,0.0077264699528580595
Cu_3,0.017336590074785496
Cu_4,0.024777427539994318
Cu_5,0.03042660172478104
Cu_6,0.03726732265680719
Pb_1,0.00188294725075348
Pb_2,0.0038938972893418546
Pb_3,0.008890108000195613
Pb_4,0.018767310047456468
Pb_5,0.03197425762534432
Pb_6,0.045500597130463054
