,yohM
Cr_1,0.0040528674139426344
Cr_2,0.008021210872698805
Cr_3,0.008096830691724408
Cr_4,0.007465745056791965
Cr_5,0.007150222556839526
Cr_6,0.0069648333956108645
Fe_1,-0.00691348353062903
Fe_2,-0.02482618611879526
Fe_3,-0.015906750238610844
Fe_4,-0.005531920327912145
Fe_5,0.005985866821599815
Fe_6,0.014753768756366172
Cd_1,0.0012740456225207616
Cd_2,0.004048090821844491
Cd_3,0.006654772449126667
Cd_4,0.010384834944919579
Cd_5,0.009155702210104763
Cd_6,0.011621119089581284
Zn_1,0.003556987069007307
Zn_2,0.017406696361013874
Zn_3,0.032118625122641416
Zn_4,0.04438863114741001
Zn_5,0.056577818184193426
Zn_6,0.0679070509741184
Cu_1,0.004977075562882271
Cu_2,0.009872411358165849
Cu_3,0.014830567594467216
Cu_4,0.02068847977345869
Cu_5,0.025951868054491557
Cu_6,0.029375205944016575
Pb_1,0.006103438973376078
Pb_2,0.012945695984932837
Pb_3,0.01529200258863991
Pb_4,0.019705698195290715
Pb_5,0.02615867943484502
Pb_6,0.03462494433324747
