,csgC
Cr_1,0.0040646578105827036
Cr_2,0.007037930993552637
Cr_3,0.011708154487433986
Cr_4,0.013246391104248256
Cr_5,0.01662372906864244
Cr_6,0.01823111634120314
Fe_1,0.0006615151511641138
Fe_2,0.010152386019962576
Fe_3,0.04462621911961992
Fe_4,0.07439306878906657
Fe_5,0.1079606090541526
Fe_6,0.1461513143766349
Cd_1,0.0034103282037548192
Cd_2,0.009777258338958029
Cd_3,0.01619985284115819
Cd_4,0.015904472107561414
Cd_5,0.014031238395000305
Cd_6,0.021524783420555863
Zn_1,-0.00038627121775482593
Zn_2,0.002883357794632804
Zn_3,0.018020069015662943
Zn_4,0.0317717965950092
Zn_5,0.04388558004897282
Zn_6,0.05360433866334758
Cu_1,0.0018498854699071172
Cu_2,0.00851791925705455
Cu_3,0.01560078667789593
Cu_4,0.022620594550908302
Cu_5,0.035347341908244866
Cu_6,0.05236497954556296
Pb_1,-0.0057439515685155425
Pb_2,-0.008405198681886253
Pb_3,-0.0037432305206438884
Pb_4,0.003037033077894334
Pb_5,0.01142343218042256
Pb_6,0.018797077041646588
