,U66
Cr_1,-0.002948154069907817
Cr_2,0.0004981282865962709
Cr_3,0.00941494489872288
Cr_4,0.0029033724539556304
Cr_5,0.00540467756168975
Cr_6,0.013937290579665172
Fe_1,0.0371451762056323
Fe_2,-0.024800093331958047
Fe_3,-0.04311161080476924
Fe_4,-0.03843616685999755
Fe_5,-0.0330376751323819
Fe_6,-0.02118293568818334
Cd_1,0.003777187581193864
Cd_2,0.007828994979228844
Cd_3,0.012154059193325873
Cd_4,0.015877474954208562
Cd_5,0.014117555461665975
Cd_6,0.01719121916487369
Zn_1,-0.021359933309227308
Zn_2,-0.020144434898463414
Zn_3,-0.0006859624950092155
Zn_4,0.021175791858396777
Zn_5,0.037141594265293225
Zn_6,0.03602058003382606
Cu_1,0.0051666368254575795
Cu_2,0.011275496905708022
Cu_3,0.017122854106409305
Cu_4,0.021477767824525096
Cu_5,0.02732782155372044
Cu_6,0.03196370157904778
Pb_1,0.0008181416740020268
Pb_2,0.0022967011016344274
Pb_3,0.004401921160351764
Pb_4,0.008631022118101801
Pb_5,0.011020441639098882
Pb_6,0.03345852122336529
