,ydhS
Cr_1,-0.0066006759483370455
Cr_2,-0.014448572668189297
Cr_3,-0.0100937036195812
Cr_4,-0.0029095143012263514
Cr_5,-0.006794911399158497
Cr_6,-0.012852520420803891
Fe_1,-0.01471164909071057
Fe_2,-0.049591618407298636
Fe_3,-0.08509838414982883
Fe_4,-0.1378938003476114
Fe_5,-0.1899117654022336
Fe_6,-0.22973817476689515
Cd_1,0.004687383740957729
Cd_2,0.0068418963541486575
Cd_3,0.008210364790188971
Cd_4,0.010639543758644551
Cd_5,0.0020800355851959247
Cd_6,0.002494982728743224
Zn_1,-0.04801836761467696
Zn_2,-0.00010479476411679048
Zn_3,-0.004072456730139024
Zn_4,-0.04613104469913799
Zn_5,-0.09812245626192607
Zn_6,-0.1015940385684834
Cu_1,0.0045803167003161185
Cu_2,0.015082328367057874
Cu_3,0.021412877402388168
Cu_4,0.030526427816646825
Cu_5,0.043405157026774915
Cu_6,0.04803973747058027
Pb_1,0.00780062442627703
Pb_2,0.015366516669844269
Pb_3,0.015763954426857768
Pb_4,0.02832825750478608
Pb_5,0.029837608196263844
Pb_6,0.04048129275599163
