,A,NorR2
R2,,0.07173116056740092
xmin,,-1.8114993875
xmid,,0.8159090929327881
xmax,,1.9839931475
ystart,,-0.8061237898257456
yend,,6.163692589704941
Rich_TF_over_stress__BHIN_Growth_Late__1,-0.6119395665209829,-0.6535803904999999
Rich_TF_over_stress__BHIN_Growth_Late__2,5.06665377367222,-0.3873235074999999
Rich_TF_over_stress__BHIN_Growth_Mid__1,2.3067528604428817,-0.0983103174999999
Rich_TF_over_stress__BHIN_Growth_Mid__2,-1.8499891481221744,-0.6809540334999999
Rich_TF_over_stress__BHIN_Growth_Stat__1,-1.8970657230766577,0.6558448255
Rich_TF_over_stress__BHIN_Growth_Stat__2,-3.1113279551024107,-0.6331096374999999
Rich_TF_over_stress__LBv2_Growth_Late__1,-1.4210646060439591,1.1614443555
Rich_TF_over_stress__LBv2_Growth_Late__2,3.318870285477085,1.4019364055
Rich_TF_over_stress__LBv2_Growth_Mid__1,0.0988054491557937,-0.0167551274999999
Rich_TF_over_stress__LBv2_Growth_Mid__2,-0.0988054491557894,0.0167551274999999
Rich_TF_over_stress__LBv2_Growth_Stat__1,1.34686057699463,-0.7922712934999999
Rich_TF_over_stress__LBv2_Growth_Stat__2,1.2632454607213566,-1.1652496475
Rich_TF_over_stress__MHB_Rich_Mid__1,6.110616031832631,1.9839931475
Rich_TF_over_stress__MHB_Rich_Mid__2,25.460277654062,1.3484266095000002
Rich_TF_over_stress__NBO_Rich_Mid__1,-4.937738226309595,1.4005855235000002
Rich_TF_over_stress__NBO_Rich_Mid__2,-3.628486490774237,0.8159144944999999
Carbons__M9Na_Arabinose_Mid__1,-2.5637355418805354,-0.6546219144999998
Carbons__M9Na_Arabinose_Mid__2,-0.3327629905997409,-0.2352725274999998
Carbons__M9Na_Galactose_Mid__1,-6.491748557995573,-0.6729800714999998
Carbons__M9Na_Galactose_Mid__2,-7.251253486144119,-0.9313146495
Carbons__M9Na_GlcNAcGrowth_Late__1,0.9925861738244092,0.4152399125000001
Carbons__M9Na_GlcNAcGrowth_Late__2,0.0433032268241384,-0.4463311434999999
Carbons__M9Na_GlcNAcGrowth_Mid__1,-1.0912790648189412,-0.3821217054999999
Carbons__M9Na_GlcNAcGrowth_Mid__2,-0.842395578608934,-0.1781555004999999
Carbons__M9Na_GlcNAcGrowth_Stat__1,1.96956210338592,-1.6384243545
