,Value,list
TF,NreC/Rex,
reg_genes,33,"['USA300HOU_RS14300' 'USA300HOU_RS13680' 'USA300HOU_RS03215'
 'USA300HOU_RS07360' 'USA300HOU_RS14315' 'USA300HOU_RS01150'
 'USA300HOU_RS14305' 'USA300HOU_RS13450' 'USA300HOU_RS01245'
 'USA300HOU_RS07975' 'USA300HOU_RS13685' 'USA300HOU_RS07980'
 'USA300HOU_RS14310' 'USA300HOU_RS01235' 'USA300HOU_RS12805'
 'USA300HOU_RS00795' 'USA300HOU_RS00105' 'USA300HOU_RS00100'
 'USA300HOU_RS01620' 'USA300HOU_RS14320']"
comp_genes,15,['USA300HOU_RS12295' 'USA300HOU_RS13060']
both_genes,13,"['USA300HOU_RS12970' 'USA300HOU_RS12935' 'USA300HOU_RS12960'
 'USA300HOU_RS12915' 'USA300HOU_RS01155' 'USA300HOU_RS12975'
 'USA300HOU_RS12980' 'USA300HOU_RS12940' 'USA300HOU_RS12965'
 'USA300HOU_RS12945' 'USA300HOU_RS12955' 'USA300HOU_RS12930'
 'USA300HOU_RS12950']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,17,
comp_ops,7,
both_ops,5,
