,-0.09897496166666667,-0.07917996933333334,-0.059384977000000005,-0.039589984666666675,-0.019794992333333344,-1.3877787807814457e-17,0.019794992333333317,0.03958998466666666,0.05938497699999998,0.0791799693333333,0.09897496166666664,0.11876995399999998,0.1385649463333333,0.15835993866666662,0.178154931,0.1979499233333333,0.21774491566666662,0.23753990799999994,0.2573349003333333,0.27712989266666666
thresh,-0.08907746550000001,0.08907746550000001,3,,,,,,,,,,,,,,,,,
unreg,1,2,6,67,493,1765,379,59,12,2,1,0,0,0,0,0,0,0,0,0
Rex,0,0,0,1,2,5,10,1,0,1,1,0,0,0,0,0,0,0,0,0
NreC and Rex,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,3,1,1,0,0
unreg_genes,['moaD'],[],[],[],[],[],[],[],[],[],[nan],[],[],[],[],[],[],[],[],[]
Rex_genes,[],[],[],['frxA'],['ldhD' nan],[nan 'vicK' 'arcD' 'resD' 'vicR'],['arcA' 'resE' 'arcR' 'adhE' 'ldH' 'arcC' 'arcB' 'alD' 'lctP' 'adhP'],[nan],[],['pflB'],['pflA'],[],[],[],[],[],[],[],[],[]
NreC and Rex_genes,[],[],[],[],[],[],[],[],[],[],['nreC'],['nreA' 'nreB'],[],['cbiX' 'narI'],['nirD' 'nasF'],['nirB' 'narK' 'narJ'],['narH'],['narG'],[],[]
