,A,NreC,Rex
R2,,0.28831615182790016,0.026374807393747313
xmin,,5.8706466574,7.4590185128
xmid,,,9.16768043810651
xmax,,10.2908420621,9.863403795
ystart,,-5.367770731358561,3.084998996380733
yend,,20.23968892817664,-1.5047270368181032
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,2.680086968,7.0737489141,8.960023811
USA300_LAC_U01-Set001_CAMHB_Control_1,0.22353411,7.1295926463,9.5562338039
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-0.063246282,7.0049390373,9.693203448
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-1.591071625,6.9826636445,9.7005627001
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-0.337428461,6.8943315136,9.6596274282
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,2.470082493,6.7023324679,8.9717084592
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.22353411,7.2420571556,9.5279314062
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-0.7741764430000001,7.0909540905,9.6035344765
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-1.529918505,7.0769308884,9.6088535746
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-0.77735509,6.7176130538,9.5097250733
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.8069302960000001,6.7247700901,8.0368164453
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.26486806300000004,6.6712694678,8.4280021268
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,0.162280946,6.6795799082,8.4319637225
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-0.873458888,7.5755081972,9.7289515588
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-1.111020601,7.3758939226999995,9.6322242515
USA300_LAC_U01-Set001_R10LB_Control_1,-1.20918988,7.1806279373,9.5577554799
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-1.529817069,7.2669652929,9.4885834077
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-1.914806435,7.2654041666,9.4175198403
USA300_LAC_U01-Set001_R10LB_Control_2,-0.71308215,7.3327158351,9.4738461312
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-1.272726694,7.2037854788,9.4293939123
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-1.696862887,7.2137118083,9.4799576185
USA300_TCH1516_U01-Set000_R10LB_Control_1,2.602390686,7.1353967277,9.6765827521
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,2.3962055270000002,7.0475071581,9.5145055954
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,2.421618303,7.1261749587,9.6547809086
USA300_TCH1516_U01-Set000_R10LB_Control_2,2.213039319,7.5403008321,9.7277938582
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,2.017321068,6.8366938562,9.512495489
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,2.511895065,7.0631845222,9.6434880177
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,1.761721073,6.7632682686,9.3575419424
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,1.523744449,6.8887128967999995,9.4003057142
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.8069302960000001,6.7997704316,8.1645145575
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,0.16840448700000002,6.8114878766,8.2907984986
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,1.317778629,6.5857561998000005,8.35022876
