locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rex,NreC,link
USA300HOU_RS12960,0.232188523,narG,nitrate reductase subunit alpha,Energy production and conversion,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC",True,True,
USA300HOU_RS12955,0.223548337,narH,nitrate reductase subunit beta,Energy production and conversion,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC,VraR",True,True,
USA300HOU_RS12950,0.205454812,narJ,nitrate reductase molybdenum cofactor assembly chaperone,Energy production and conversion,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC,VraR",True,True,
USA300HOU_RS12915,0.197333597,narK,MFS transporter,Inorganic ion transport and metabolism,narK,"Rex,NreC,VraR",True,True,
USA300HOU_RS12975,0.192321144,nirB,nitrite reductase large subunit,Energy production and conversion,"nasF,nirD,nirB","Rex,NreC,VraR",True,True,
USA300HOU_RS12965,0.179596545,nasF,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,"nasF,nirD,nirB","Rex,NreC,VraR",True,True,
USA300HOU_RS12970,0.17141483,nirD,nitrite reductase NAD(P)H small subunit,Energy production and conversion,"nasF,nirD,nirB","Rex,NreC,VraR",True,True,
USA300HOU_RS12945,0.16001928199999998,narI,nitrate reductase subunit gamma,Energy production and conversion,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC,VraR",True,True,
USA300HOU_RS12980,0.15850332,cbiX,cobalamin biosynthesis protein CbiX,Coenzyme transport and metabolism,cbiX,"Rex,NreC",True,True,
USA300HOU_RS12935,0.121669647,nreB,sensor histidine kinase,Signal transduction mechanisms,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC",True,True,
USA300HOU_RS12940,0.118589654,nreA,GAF domain-containing protein,Function unknown,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC",True,True,
USA300HOU_RS01155,0.104910802,pflA,pyruvate formate-lyase-activating enzyme,"Post-translational modification, protein turnover, and chaperones","pflB,pflA","Rex,CcpA,WalR",True,False,
USA300HOU_RS12930,0.103165312,nreC,DNA-binding response regulator,Signal transduction mechanisms,"nreC,nreB,nreA,narI,narJ,narH,narG","Rex,NreC",True,True,
USA300HOU_RS13060,0.096195002,,hypothetical protein,,,,False,False,
USA300HOU_RS12295,-0.103013855,moaD,molybdopterin synthase sulfur carrier subunit,Coenzyme transport and metabolism,"moaA,mobA,moaD,moaE,mobB,moeA",,False,False,
