,-0.29460220338461535,-0.24550183615384613,-0.19640146892307692,-0.1473011016923077,-0.09820073446153849,-0.04910036723076927,-5.551115123125783e-17,0.04910036723076916,0.09820073446153837,0.1473011016923076,0.1964014689230768,0.24550183615384596,0.29460220338461524,0.3437025706153845,0.39280293784615367,0.4419033050769228,0.4910036723076921,0.5401040395384613,0.5892044067692306,0.6383047739999996
thresh,-0.319152387,0.319152387,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,101,5369,101,0,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['kdpF'],[]
