,cspG
Cr_1,0.007558789730686853
Cr_2,0.008921461919236836
Cr_3,0.003816614219721919
Cr_4,-0.002867793808915964
Cr_5,-0.011571476211008349
Cr_6,-0.016979309566900733
Fe_1,-0.016924197644429106
Fe_2,-0.03744342472074429
Fe_3,-0.045990378621921034
Fe_4,-0.06381086710284832
Fe_5,-0.08048612474314494
Fe_6,-0.0961485908316894
Cd_1,0.016096197314408763
Cd_2,0.03843419587039831
Cd_3,0.05299669830558565
Cd_4,0.06441617219613857
Cd_5,0.08590916710517513
Cd_6,0.09769795055246427
Zn_1,-0.0055921873842447786
Zn_2,-0.005099872949028517
Zn_3,0.016814346083672573
Zn_4,0.03124519165592437
Zn_5,0.011895387712471455
Zn_6,-0.007409818932660446
Cu_1,0.0022503688946793133
Cu_2,0.00031610567474569634
Cu_3,0.01738992357839517
Cu_4,0.035897202579751465
Cu_5,0.046905732371646455
Cu_6,0.061984924620956186
Pb_1,0.009561874224122895
Pb_2,0.025412994128320286
Pb_3,0.03251148298980492
Pb_4,0.052051431867194464
Pb_5,0.06897089391122656
Pb_6,0.0873067428440458
