,-0.46915594605570005,-0.4170275076050667,-0.3648990691544333,-0.31277063070379996,-0.2606421922531666,-0.20851375380253323,-0.15638531535189987,-0.1042568769012665,-0.05212843845063314,2.220446049250313e-16,0.052128438450633585,0.104256876901267,0.1563853153519003,0.20851375380253362,0.26064219225316704,0.31277063070380046,0.36489906915443376,0.41702750760506707,0.4691559460557005,0.521284384506334
thresh,-0.07819265767595,0.07819265767595,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,0,0,1,65,3762,83,7,3,1,0,0,0,0,0,0
unreg_genes,['fur'],[],[],[],[],[],[],['mtr'],[],[],[],['ynfM' 'ygaY_1' 'yebG' 'xisE' 'yjjZ' 'aaaE' 'sulA'],['recN' 'icdC' 'ymfJ'],['ymfL'],[],[],[],[],[],[]
