,pdxH
Cr_1,-0.0012188846311014712
Cr_2,-0.0006063995869511762
Cr_3,0.00046985889440758215
Cr_4,0.003587162297999536
Cr_5,0.006308937074002774
Cr_6,0.0074879106042011765
Fe_1,-0.008184074390628187
Fe_2,-0.012978961634792936
Fe_3,-0.020789305816118896
Fe_4,-0.02641487965519366
Fe_5,-0.02836776121903772
Fe_6,-0.02628730222759762
Cd_1,-0.0010033833800003943
Cd_2,-0.0020147525268350685
Cd_3,-0.004900277891652743
Cd_4,-0.007121275464049236
Cd_5,-0.013591892086369186
Cd_6,-0.01474467620963746
Zn_1,0.0016730597929104651
Zn_2,0.006713262894746154
Zn_3,0.020142666172706082
Zn_4,0.03625870708872149
Zn_5,0.0521186300581856
Zn_6,0.06663965065500299
Cu_1,-0.002475367650611689
Cu_2,-0.003422373014119235
Cu_3,-0.008158527549692839
Cu_4,-0.004130881303012167
Cu_5,0.005984815275153312
Cu_6,0.012335080518578562
Pb_1,0.004242866093937053
Pb_2,0.004048559735221151
Pb_3,0.011760638990841451
Pb_4,0.018511097586930488
Pb_5,0.02639775801871336
Pb_6,0.04049991518842362
