,pykF
Cr_1,-0.0037938857025778283
Cr_2,-0.011149927957335987
Cr_3,-0.019090387672097982
Cr_4,-0.02792608318249113
Cr_5,-0.03189517731190536
Cr_6,-0.0315671961848771
Fe_1,-0.008381197530152084
Fe_2,-0.02236747957462989
Fe_3,-0.03338769120976291
Fe_4,-0.04967356006242375
Fe_5,-0.05928555885312519
Fe_6,-0.06498878076479002
Cd_1,-0.000708251811692136
Cd_2,-0.0004807469334755295
Cd_3,-0.0010694549725465366
Cd_4,-0.0013826043182564895
Cd_5,-0.00579128293898459
Cd_6,-0.002862553647929332
Zn_1,-0.0009789509555964797
Zn_2,0.0016232173008219085
Zn_3,0.00915148284424893
Zn_4,0.018194303052998108
Zn_5,0.031900713794132375
Zn_6,0.04652128671923993
Cu_1,0.019548332598200484
Cu_2,0.06776112896548375
Cu_3,0.11937767361572645
Cu_4,0.15885394689342147
Cu_5,0.1876673337993076
Cu_6,0.20792812867665172
Pb_1,0.008087148634577613
Pb_2,0.013725411520879756
Pb_3,0.02062711608546567
Pb_4,0.028222459104481075
Pb_5,0.032871713004477186
Pb_6,0.03830666202503349
