,rhaT
Cr_1,0.006399902816780395
Cr_2,0.00979813829022822
Cr_3,0.007935335863169954
Cr_4,0.0073043189548324
Cr_5,0.011312793030575459
Cr_6,0.015767310836714742
Fe_1,-0.006426415336703468
Fe_2,-0.02083316283501789
Fe_3,-0.03647037164390268
Fe_4,-0.04438109687120529
Fe_5,-0.05177726111458962
Fe_6,-0.0501082827120834
Cd_1,0.006609481359347322
Cd_2,0.012508444380197858
Cd_3,0.015585309911819271
Cd_4,0.01776562081394615
Cd_5,0.01797453532498306
Cd_6,0.025351015984616195
Zn_1,0.006950931571112986
Zn_2,0.014497915479675046
Zn_3,0.028085904161159508
Zn_4,0.04909997887037963
Zn_5,0.06332491946844059
Zn_6,0.07181248634831003
Cu_1,0.006134117380294546
Cu_2,0.01080760799887687
Cu_3,0.018160547999589192
Cu_4,0.028628839142285856
Cu_5,0.04198501637799732
Cu_6,0.050595043833596885
Pb_1,-0.002101426299268779
Pb_2,-0.004993760203996024
Pb_3,-0.0021633521228047467
Pb_4,0.006646950505110148
Pb_5,0.014169314657764024
Pb_6,0.017772816773748448
