,yebQ
Cr_1,0.018467604169592592
Cr_2,0.040350659837434986
Cr_3,0.06387147361895505
Cr_4,0.09445937945185257
Cr_5,0.10837513429346066
Cr_6,0.11846924637301905
Fe_1,-0.046372239740921285
Fe_2,-0.0902498329682336
Fe_3,-0.13852248629156247
Fe_4,-0.19939940646772025
Fe_5,-0.2404769717567235
Fe_6,-0.27308407380098376
Cd_1,0.003206234363336672
Cd_2,0.005952245104172649
Cd_3,0.009823645453072476
Cd_4,0.0128830954171416
Cd_5,0.009482986055116606
Cd_6,0.012566618573037137
Zn_1,-0.032645205072045214
Zn_2,-0.07212476142743891
Zn_3,-0.120166647413253
Zn_4,-0.15519677566716175
Zn_5,-0.18637469201583087
Zn_6,-0.2088267947659743
Cu_1,0.003330264894857543
Cu_2,0.0088790563119998
Cu_3,0.014760004452375644
Cu_4,0.020249192096173967
Cu_5,0.02547170121348242
Cu_6,0.030804238558742807
Pb_1,0.006070935658982137
Pb_2,0.014041781818815244
Pb_3,0.028710698061710976
Pb_4,0.04251149803863909
Pb_5,0.05184211879285796
Pb_6,0.06185128374197104
