,yeaE
Cr_1,0.005460558406462484
Cr_2,0.011945146939586464
Cr_3,0.017924664403103682
Cr_4,0.021094123212457464
Cr_5,0.020387523139755528
Cr_6,0.02046347131954981
Fe_1,-0.009718145581534748
Fe_2,-0.03045371765365086
Fe_3,-0.05788210955003231
Fe_4,-0.08346856517958405
Fe_5,-0.10899168264475133
Fe_6,-0.1310988203542066
Cd_1,0.01300087020531979
Cd_2,0.02619745904263941
Cd_3,0.03763698176607938
Cd_4,0.047100828836042885
Cd_5,0.05096768935756677
Cd_6,0.0609658490577515
Zn_1,-0.00845932495711017
Zn_2,-0.02147575980613297
Zn_3,-0.028825645261684938
Zn_4,-0.02699209993846413
Zn_5,-0.01913951113622057
Zn_6,-0.009636082737178043
Cu_1,0.00225678023111448
Cu_2,0.007700858694365491
Cu_3,0.013758498811824515
Cu_4,0.02185169713941814
Cu_5,0.02687395023128074
Cu_6,0.035825170165062946
Pb_1,0.001077562566657885
Pb_2,0.0037292103335147095
Pb_3,0.009056571972506287
Pb_4,0.010800031768599543
Pb_5,0.008755306949201019
Pb_6,0.01789936076311539
