,A,OxyR
R2,,0.0244338548571289
xmin,,-2.31439687025
xmid,,
xmax,,1.7056024043333338
ystart,,4.767585540708573
yend,,-2.4899693642520964
ALE:GalactoseA5:1.0,-5.438818420502,0.1298778412499999
ALE:GalactoseA5:2.0,-4.954021689807056,0.0472840652500003
ALE:GalactoseA6:1.0,-7.094847247008134,0.0217759502500003
ALE:GalactoseA6:2.0,-7.563501994941447,0.1623532392500006
ALE:GalactoseA8:1.0,-5.017802211361943,0.1146790242499999
ALE:GalactoseA8:2.0,-5.24517290290243,0.08185448525
ALE:IL_Control:1.0,-0.4818903944196004,-0.1676864977500001
ALE:IL_Control:2.0,0.3616496018055579,-0.22310761575
ALE:IL_Control:3.0,-0.0972173427241132,0.18339331525
ALE:IL_Control:4.0,0.2174581351198719,0.2074007982500001
ALE:IL_TEOH_OAc:1.0,-2.719855352014321,-0.4294762387499995
ALE:IL_TEOH_OAc:2.0,-2.612556633798239,-0.0871613857499999
ALE:IL_TEA_HS:1.0,-1.2268192890121503,0.2784410052500004
ALE:IL_TEA_HS:2.0,-0.3179834137303802,0.2440034402500002
ALE:IL_Mixed:1.0,-3.638078425612217,0.3439960382500002
ALE:IL_Mixed:2.0,-2.70180246233902,0.2203010112500001
ALE:IL_PP5350:1.0,-1.2174610081332211,0.2901813112500004
ALE:IL_PP5350:2.0,-1.4380377421554806,0.3558403852500005
ALE:IL_T8:1.0,-2.3204235657269963,0.32744045925
ALE:IL_T8:2.0,-2.817874545513048,0.2951696012500004
ALE:IL_T9:1.0,-3.2776654458852,0.4576387872500005
ALE:IL_T9:2.0,-2.984084382074293,0.4519842732499999
ALE:IL_Control2:1.0,-2.4435758670498955,0.4373289942500005
ALE:IL_Control2:2.0,-2.8768070342280265,0.30867903625
ALE:IL_Glc+Ace:1.0,-1.167764975845805,0.2532705872500003
ALE:IL_Glc+Ace:2.0,-0.5299902357872869,0.31487815925
ALE:XyloseA1:1.0,-2.1956074755990964,0.2857526842500002
ALE:XyloseA1:2.0,-2.471416316293447,0.2835332752499999
ALE:XyloseA2:1.0,-3.037132071685936,0.3225541092500004
ALE:XyloseA2:2.0,-3.616977182702541,0.4694235872500005
ALE:XyloseA3:1.0,-3.903260791922428,0.2197999752499999
ALE:XyloseA3:2.0,-3.6197173016771296,0.1696039642500002
ALE:XyloseA4:1.0,-1.9788545406374416,0.40111055725
ALE:XyloseA4:2.0,-1.2327312310833338,0.3416263662500007
Aromatic:Coumarate:1.0,2.5528500368737435,0.7821579239999998
Aromatic:Coumarate:2.0,1.5457513259318432,0.3716064179999998
Aromatic:Coumarate:3.0,1.1071512060826303,0.1922382599999998
Aromatic:Coumarate+ferulate:1.0,2.030351302921359,0.3186499989999998
Aromatic:Coumarate+ferulate:2.0,2.1209889229314416,-0.0939555730000005
Aromatic:Coumarate+ferulate:3.0,3.5296912327362704,-0.0365450650000003
Aromatic:Ferulate:1.0,2.503102988991964,0.2737362559999994
Aromatic:Ferulate:2.0,2.582184712449436,0.0897700029999999
Aromatic:Ferulate:3.0,2.5663366439779,0.0699471679999996
Aromatic:Glucose:1.0,0.299112845319722,-0.2461243500000005
Aromatic:Glucose:2.0,0.0623832071047759,0.0284725479999998
Aromatic:Glucose:3.0,-0.3614960530052204,0.2176518019999997
Bioreactor1:24h:1.0,0.594147495694479,0.0585072659999994
Bioreactor1:24h:2.0,-0.5941474957120542,-0.0585072660000003
Bioreactor2:S_0min:1.0,-0.1215630747458253,0.0686443316666665
Bioreactor2:S_15min:1.0,-0.5905271893911729,-0.1455574123333338
Bioreactor2:P1_15min:1.0,-0.6835322972398985,-0.1384645183333335
Bioreactor2:P3_15min:1.0,-0.5338879006499032,0.2202838756666665
Bioreactor2:P5_15min:1.0,-0.9611760926742748,0.0824020716666664
Bioreactor2:S_1h:1.0,-0.5346499953199331,0.1371726426666661
Bioreactor2:S_3h:1.0,0.2755720692818221,-0.112223113333334
Bioreactor2:S_9h:1.0,-0.2465379915279053,0.2889274346666663
Bioreactor2:S_25h:1.0,0.0070252019592826,0.1377723056666662
Bioreactor2:P1_25h:1.0,-0.3216847137526064,0.0818906516666659
Bioreactor2:P3_25h:1.0,0.3096784390193579,0.0528900566666665
Bioreactor2:P5_25h:1.0,0.0588840916804452,-0.0222661383333333
Bioreactor2:S_0min:2.0,0.3998554926736971,-0.2209407803333336
Bioreactor2:S_15min:2.0,-2.1799045515249187,-0.1146093703333335
Bioreactor2:P1_15min:2.0,-1.7134303499552013,0.0123918816666659
Bioreactor2:P3_15min:2.0,-1.3288911504961889,0.0517630246666662
Bioreactor2:P5_15min:2.0,-1.3203052180361672,0.1389420836666666
Bioreactor2:S_1h:2.0,-1.0276602350831596,0.2003746136666659
Bioreactor2:S_3h:2.0,-0.6504912729270282,0.3317607676666663
Bioreactor2:S_9h:2.0,-0.8159874956749733,0.243929479666666
Bioreactor2:S_25h:2.0,-0.7858875675169743,0.1588295876666663
Bioreactor2:P1_25h:2.0,-0.0017369486013683,0.0877969756666665
Bioreactor2:P3_25h:2.0,0.3951169554624536,0.3376812666666664
Bioreactor2:P5_25h:2.0,0.2594125975880948,0.1203416836666662
Bioreactor2:S_0min:3.0,-0.2782924185469384,0.1522964486666662
Bioreactor2:S_15min:3.0,-1.439554990825493,-0.0689277253333333
Bioreactor2:P1_15min:3.0,-1.3585972110174445,-0.1170681563333335
Bioreactor2:P3_15min:3.0,-0.8251186387941548,-0.1615238403333334
Bioreactor2:P5_15min:3.0,-0.4535930907095212,0.1012977186666663
Bioreactor2:S_1h:3.0,-0.7251737294012226,0.0293087406666661
Bioreactor2:S_3h:3.0,-0.1437495256200615,-0.1348304923333332
Bioreactor2:S_9h:3.0,-0.1173016462513261,0.0287406086666663
Bioreactor2:S_25h:3.0,-0.5642530242674827,0.1277260816666663
Bioreactor2:P1_25h:3.0,0.3833589483782361,0.0447752286666665
Bioreactor2:P3_25h:3.0,0.2674670908899204,0.2849330346666665
Bioreactor2:P5_25h:3.0,-0.239472435724162,0.0568600716666667
Carbon:Citrate:1.0,1.956564909684945,-0.1650120020000001
Carbon:Citrate:2.0,2.1689486092357417,0.2049747240000003
Carbon:Citrate:3.0,1.8679852145756624,-0.2481772219999998
Carbon:Ferulate:1.0,0.8968051357835654,-0.3999132059999999
Carbon:Ferulate:2.0,1.6818067215922552,-0.1271477909999996
Carbon:Ferulate:3.0,1.0548337351847743,-0.4123698080000002
Carbon:Glucose:1.0,0.3740951102817535,-0.3603296799999995
Carbon:Glucose:2.0,-0.3740951104432373,0.3603296800000004
Carbon:Serine:1.0,2.231979578723501,-0.5573527030000003
Carbon:Serine:2.0,2.5408776437892446,-0.5540317679999998
Carbon:Serine:3.0,1.5439484821136755,-1.1184957630000003
Carbon2:Glucose:1.0,-0.2154215678188621,0.1277341830000002
Carbon2:Glucose:2.0,-0.1411210836942303,-0.062812856999999
Carbon2:Glucose:3.0,0.356542650411745,-0.0649213259999994
Carbon2:Coumarate:1.0,0.9151554501784196,0.1099379760000003
Carbon2:Coumarate:2.0,0.8984446149684736,0.1695309610000004
Carbon2:Coumarate:3.0,1.0193450864856046,0.2790199380000002
Crc:Control:1.0,-0.0522440315803398,-0.0292363234999992
Crc:Control:2.0,0.0522440319772595,0.0292363235000001
Crc:Del_crc:1.0,-1.1960989655852252,0.0982081795000002
Crc:Del_crc:2.0,-2.195675157698845,0.1959931704999995
Crc:Del_crcZ_crcY:1.0,0.1314759866137044,0.1622665125000004
Crc:Del_crcZ_crcY:2.0,-0.2185334321063204,0.0788721255000002
FinR:Control:1.0,0.0993073051840436,0.1347907966666675
FinR:Control:2.0,0.4654243734083964,-0.0001703653333331
FinR:Control:3.0,-0.5647316780339706,-0.1346204313333325
FinR:Del_finR:1.0,-1.1735100391078304,-0.3834135873333331
FinR:Del_finR:2.0,-1.1847165684349277,-0.5489979003333332
FinR:Del_finR:3.0,-1.1963418597351092,-0.3879969033333328
FleQ:Del_fleQ:1.0,2.861034117548907,0.1550000166666665
FleQ:Del_fleQ:2.0,3.0216870036560137,0.2284018096666669
FleQ:Del_fleQ:3.0,2.9218990754753325,0.0623617056666665
FleQ:OE_wspR:1.0,-0.3094197838009294,-0.4228759463333329
FleQ:OE_wspR:2.0,-0.6818221950385314,-0.2842592003333335
FleQ:Control:1.0,-0.5640248994146503,-0.1346193453333333
FleQ:OE_wspR:3.0,0.2556802167807632,-0.4389553383333329
FleQ:Control:2.0,0.1142213903018007,0.1347904016666667
FleQ:Control:3.0,0.4498035124011325,-0.0001710563333334
Fuel:Butanol:1.0,3.0241320957449536,-0.9366470859999998
Fuel:Butanol:2.0,3.000104515716741,-0.8649618199999995
Fuel:Control:1.0,-0.1417001629557211,-0.0784544609999997
Fuel:Control:2.0,0.141700163979639,0.0784544609999997
