,A,NadR
R2,,0.04042681466454601
xmin,,-2.5718934899
xmid,,
xmax,,2.2332659246
ystart,,-1.9733500158812889
yend,,1.0544027307860135
SRX1125282,-0.1887101628,0.1351314062
SRX1125283,0.3306688344,-0.0763616226
SRX1125284,-0.0978598001,0.12214824040000001
SRX1125285,-0.9237790254,-0.14341160420000001
SRX1125286,-1.2803454067,-0.2593458964
SRX1125287,-2.7843337685,-0.2269100131
SRX1125288,0.065071894,-0.0771712903
SRX1125289,0.1723807307,0.0465667783
SRX1125290,-0.6483539433000001,0.12364326900000001
SRX1125291,-1.4652493343000002,-0.07290246780000001
SRX1125292,-1.9139761167,-0.2581865675
SRX1125293,-3.0585072622,0.1495913035
SRX1125294,0.1236382688,-0.057960115900000005
SRX1125295,-0.2620012523,0.032831249800000004
SRX1125296,-0.058190896900000004,0.043964913200000004
SRX1125297,-1.3553315102,-0.15367254290000001
SRX1125298,-2.1478815622,-0.0777457594
SRX1125299,-2.404286843,-0.0170055548
SRX5694250,-0.47933998780000003,-0.0638430847
SRX5694251,0.8948617576000001,-0.4926431291
SRX5694252,0.20919319590000002,-0.057826858800000006
SRX5694253,-0.6422009944,0.0371533281
SRX5694254,-0.32282261370000004,0.7182962452
SRX5694255,-1.2031876935,-1.4849488363
SRX5694256,1.3134785392000001,0.8255965266
SRX5694257,0.016584060600000002,0.2113368793
SRX5694258,-0.767536184,0.5299822664
SRX5694259,0.7644415228,-0.9260787184
SRX5694260,1.0257051254,0.1170551023
SRX5694261,-2.2148167258,0.0289988673
SRX5694262,-0.9982227263000001,-1.2907612388
SRX5694263,0.25999005950000004,0.1392623339
SRX5694264,0.4729556442,-0.1148608844
SRX5694265,0.8306379139000001,-0.2054137694
SRX5694267,-0.19774779010000001,-0.3777945063
SRX5694268,1.2974210778,0.0182916486
SRX5694269,0.9267145923000001,0.0705314756
SRX5694271,0.38406316490000003,0.1032305783
SRX5694273,0.9715737524,-1.0784623759
SRX5694274,0.23800878760000002,0.2232198702
SRX5694275,1.5253871417,-0.42272803600000003
SRX5694276,0.3032188424,-0.7307849142
SRX5694277,0.8476518154,0.42876574110000004
SRX5694278,0.19624605150000002,-0.3300940599
SRX5694279,0.2917390286,-0.1314690647
SRX5694280,-2.2575271588,0.4040095198
SRX5694281,0.6361035249,0.24470013240000002
SRX5694282,0.6888970502,-1.5826496611
SRX5694283,-0.6878161729000001,0.1768416967
SRX5694284,0.4652011808,0.30344988570000003
SRX5694285,1.2075243816,-0.5769267805
SRX5694286,0.5933495631,-0.345827955
SRX5694287,0.6110071798000001,0.6041494237
SRX5694288,0.8304131936,0.1780676548
SRX5694289,-0.758404368,0.2936492901
SRX5694290,0.6306846865,0.0214301384
SRX5694291,-2.0036973237,-1.6526836645
SRX5694292,0.6278119902,0.39842755820000003
SRX5694293,0.6189574462,0.1035540034
SRX5694294,0.015313149000000002,0.4515605572
SRX5694295,1.7739208715,-0.1511386671
SRX5694296,0.0943986166,0.1993191555
SRX5694297,-0.1000257091,-1.4982716891
SRX5694298,0.2081639525,-0.4344086868
SRX5694299,-0.9503023012,0.2366301539
SRX5694300,-1.8782710941,-0.1812377484
SRX5694301,0.32877873490000004,0.4790518903
SRX5694302,0.7675780276,0.0690492932
SRX5694303,0.2759256067,0.19406822540000002
SRX5694304,-0.1297187951,-0.0697705636
SRX5694305,0.6602308507,-0.5880187879000001
SRX5694306,-1.2666808304,-0.4582715739
SRX5694307,1.1823558048,-1.9242245738000001
SRX5694308,-0.3062238216,-0.5086961870000001
SRX5694309,-0.2820132535,-0.8384012965000001
SRX5694310,0.42880931120000004,-0.2441884327
SRX5694311,0.4257865263,-1.1895853747
SRX5694312,-1.4655914653,-0.8457630694
SRX5694313,3.8273437163,0.0301689497
SRX5694315,0.6524457408000001,0.29605461650000003
SRX5694317,1.4090112299,0.3254339632
SRX5694319,0.0733975795,-0.12452485290000001
SRX5694320,-1.8540612162,-1.8377513655
SRX5694321,0.1106595026,0.46428449790000004
SRX5694322,-1.3617378856,-1.8114773135000002
SRX5694323,0.0372104526,0.3311328743
SRX5694324,1.3039472165000001,-0.7177616291000001
SRX5694325,-0.0040888016,-0.2775081048
SRX5694326,0.3141191401,0.5078872221
SRX5694327,-0.7023729809,-0.0927901237
SRX5694328,0.5909563252000001,0.2503747613
SRX5694329,1.5644757322,-0.3878840202
SRX5694330,0.9073867664,0.0263813276
SRX5694331,1.3110100659000001,-0.1759256202
SRX5694332,0.3561786309,0.48667407910000005
SRX5694334,-0.6736461735,-0.5327949196
SRX5694335,0.0528670279,0.012732875900000001
SRX5694336,-0.2225099979,-1.1356257288
SRX5694337,1.7136320835,0.7605353171
SRX5694338,0.4669759693,0.2234903389
SRX5694339,0.6042993765,-0.0068885126000000005
SRX5694340,-0.6667530612,0.2790572867
SRX5694341,1.0228607207,-0.8631195339000001
SRX5694342,0.8662026079,-1.1273216181
SRX5694343,1.3656534606,0.725089364
SRX5694344,0.4629435457,-0.37331280650000004
SRX5694345,0.9829632095,-0.1031168675
SRX5694346,-0.1793839049,0.7225303667
SRX5694347,-0.7383618040000001,0.0714184955
SRX5694348,1.2214973403,0.4170457262
SRX5694349,1.1184087589,-0.0514795238
SRX5694350,-1.1293103217,0.2626587398
SRX5694351,1.4276061893,-0.6571959546
SRX5694352,-0.8265983772000001,-0.4153048837
SRX5694353,0.039911651900000004,0.2362334002
SRX5694354,1.0803734184,0.1292879474
SRX5694356,-0.1347120051,0.1582994742
SRX5694357,0.3849114206,-1.3371066467000001
SRX5694358,0.39226453310000003,-1.6423127656
SRX5694359,1.0973003023,-0.5834452121
SRX5694360,0.7455324425000001,-0.2859268857
SRX5694361,0.5114628658,-1.3485430406
SRX5694362,0.1931694075,-0.13818721350000002
SRX5694363,-0.13779502970000002,0.1483529802
SRX5694364,-2.1536906654,-1.1840996759
SRX5694365,0.5766233239,-0.5773680176
SRX5694366,-0.0246021111,-0.20476628360000002
SRX5694367,0.7816010472,-0.3921325055
SRX5694368,0.7537028704000001,0.1014041353
SRX5694369,1.4480107289,-0.0963228476
SRX5694370,0.8266211372000001,0.5338978443
SRX5694371,-0.7478678687,-0.8294464229
