,A,PurR
R2,,0.7266205623970825
xmin,,-8.216346238
xmid,,-3.6865539032285577
xmax,,0.33396364600000084
ystart,,-20.393233311802355
yend,,3.2826703479520853
control__wt_glc__1,-0.0195009916606415,-0.0016611449999999195
control__wt_glc__2,0.0195009916607064,0.0016611449999999195
fur__wt_dpd__1,-4.421611802647395,-0.6151039760000003
fur__wt_dpd__2,-6.021874577330537,-0.8196669910000001
fur__wt_fe__1,1.0411960204750894,-0.4046822859999999
fur__wt_fe__2,0.8617700443888405,-0.4929092409999996
fur__delfur_dpd__1,-4.84419440767459,-0.57490226
fur__delfur_dpd__2,-4.787548045271532,-0.5644634239999995
fur__delfur_fe2__1,-0.4320042979852089,-0.4231934069999994
fur__delfur_fe2__2,-0.3386701705229688,-0.4981300469999983
acid__wt_ph5__1,-0.0309674127047465,-0.3715409310000002
acid__wt_ph5__2,-0.2941369818673258,-0.4744451719999994
acid__delgadx_ph5__2,-0.3716864671444083,-0.5677022889999996
acid__delgadw_ph5__1,-0.4253802469232728,-0.5727839039999996
acid__delgadw_ph5__2,-0.3174371442217092,-0.6632380199999997
acid__delgade_ph5__1,-0.2767673657731279,-0.4367671360000003
acid__delgade_ph5__2,-0.1240267645868213,-0.4801847099999996
oxidative__wt_pq__1,-9.040086823211311,-1.4069466989999997
oxidative__wt_pq__2,-9.062263861113152,-1.3920632619999995
oxidative__deloxyr_pq__1,-7.597329976034387,-1.0691250089999995
oxidative__deloxyr_pq__2,-7.809728364277252,-0.9944603439999992
oxidative__delsoxr_pq__1,-6.276276621869212,-1.1476433619999993
oxidative__delsoxr_pq__2,-6.484759189536326,-1.0554763849999995
oxidative__delsoxs_pq__1,-12.49949385207852,-1.8156531379999992
oxidative__delsoxs_pq__2,-12.28316101551058,-1.8466938189999995
nac_ntrc__wt_csn__1,-4.540274497509986,-0.4049359129999992
nac_ntrc__wt_csn__2,-4.784645972139516,-0.3706067479999984
nac_ntrc__wt_cytd__1,-4.970263071565728,-0.31211380799999944
nac_ntrc__wt_cytd__2,-5.233841045758002,-0.35052336899999936
nac_ntrc__wt_gln__1,-4.3009188964743545,-0.4722343079999991
nac_ntrc__wt_gln__2,-3.6211333105982377,-0.509762434999999
nac_ntrc__bw_delnac_csn__1,-4.465018170952487,-0.6205402560000001
nac_ntrc__bw_delnac_csn__2,-2.5907842471371665,-0.336077113
nac_ntrc__bw_delnac_cytd__1,-3.481915409901468,-0.184986404
nac_ntrc__bw_delnac_cytd__2,-3.0620122138519594,-0.30857093600000063
nac_ntrc__bw_delnac_gln__1,-2.312334417019025,-0.4535738669999994
nac_ntrc__bw_delnac_gln__2,-2.7921171651958265,-0.4784706209999996
nac_ntrc__bw_delnac_nh4__1,0.667932797550492,0.08766008399999947
nac_ntrc__bw_delnac_nh4__2,0.5782244935770664,0.050032210000001236
misc__wt_no_te__1,-3.0504391881094715,-0.5700678979999996
misc__wt_no_te__2,-0.885179535633835,-0.3622095489999992
misc__bw_delcbl__1,0.4928514132923932,-0.3250749769999981
misc__bw_delcbl__2,0.4175209402653256,-0.3157871599999993
misc__bw_delfabr__1,1.0876665807882298,-0.33523313100000074
misc__bw_delfabr__2,1.068305162034448,-0.2944725219999995
misc__bw_delfadr__1,-0.612570220177728,-0.27277315999999985
misc__bw_delfadr__2,-0.7153618902651283,-0.28731209000000035
misc__nitr_031__1,-0.948618067882118,-0.459089624999999
omics__wt_glu__1,1.5354783266694787,-0.44669562699999865
