,yhiL
Cr_1,-0.02639602209992636
Cr_2,-0.04098226855646192
Cr_3,-0.04240733876037193
Cr_4,-0.03308290363522373
Cr_5,-0.019670005222293188
Cr_6,-0.010867187854020048
Fe_1,-0.04106532836625165
Fe_2,-0.07862069890698488
Fe_3,-0.10691926997870703
Fe_4,-0.12930943575493595
Fe_5,-0.1407168030038172
Fe_6,-0.1458762675414722
Cd_1,-0.005222097836549196
Cd_2,-0.004629081067943284
Cd_3,-0.00031940892387589763
Cd_4,0.00991805887804868
Cd_5,0.01734584500237936
Cd_6,0.02938532660954597
Zn_1,-0.014303073121402972
Zn_2,-0.023158779959488014
Zn_3,-0.009663539901423235
Zn_4,0.00011671827296313196
Zn_5,0.0080440279009106
Zn_6,0.032875887486056465
Cu_1,0.008334283311716822
Cu_2,0.0222007292173726
Cu_3,0.03855752624747672
Cu_4,0.05574603009901144
Cu_5,0.07097476643920571
Cu_6,0.08926751364985898
Pb_1,-0.0016979811291983945
Pb_2,-0.010088119281356271
Pb_3,-0.01156423287232322
Pb_4,-0.015353325271063954
Pb_5,-0.01837880318867026
Pb_6,-0.025596918852917483
