,A,AbaM
R2,,0.054671503511635744
xmin,,-5.1706580062
xmid,,
xmax,,3.0449946243
ystart,,-4.8198062099054075
yend,,2.3918204869021658
AB0057_PGcoculture__PGAB__1.0,0.0560246383,0.5026040931
AB0057_PGcoculture__PGAB__2.0,0.3871805749,0.5203073583
AB0057_PGcoculture__PGAB__3.0,2.5068975753,0.2272040563
AB0057_PGcoculture__AB __1.0,-0.3355986757,0.1682312932
AB0057_PGcoculture__AB __2.0,0.09571046030000001,0.0348464266
AB0057_PGcoculture__AB __3.0,-0.19615099260000002,0.1083248488
AB0057_PGcoculture__AB __4.0,0.436039208,-0.3114025686
AB0057_PGcoculture__ABPG__1.0,2.8515229536,-0.8163337793000001
AB0057_PGcoculture__ABPG__2.0,3.214284308,-1.1675504765
AB0057_PGcoculture__ABPG__3.0,-0.0171777631,0.1903859837
AB0057_PGcoculture__ABPG__4.0,2.4726751402,-1.0535721429
AB5075_AZI__AZI_000__1.0,0.18825882700000002,-0.0345463307
AB5075_AZI__preculture__1.0,-0.2878169826,-0.9726137458
AB5075_AZI__preculture__2.0,0.0924751394,-0.589138951
AB5075_AZI__AZI_040__1.0,5.7839632441,0.1844085727
AB5075_AZI__AZI_028__1.0,3.041201375,0.4498393412
AB5075_AZI__AZI_003__1.0,-0.2868912679,-0.3413144929
AB5075_AZI__AZI_000__2.0,-0.18825882700000002,0.0345463307
AB5075_AZI__AZI_040__2.0,3.9113310726,-0.1727263157
AB5075_AZI__AZI_028__2.0,1.9070319774,0.4222683867
AB5075_AZI__AZI_003__2.0,-0.9767317154,-0.32233687050000004
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-0.6388409696,-0.17513569410000002
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,1.3738392396,0.20346273480000002
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-1.2158285377,-0.5007556414000001
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-0.1580107019,0.2972929066
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,-0.09883651900000001,-0.7950550018
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-2.4747698774,-0.5569463708
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,-1.9929231483,-0.0090806486
AB5075_VIR-O_AV-T__AV-T/vector__2.0,2.0630908732,-0.2527644854
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-0.5500090834,0.2794694082
AB5075_VIR-O_LSO__VIR-O__1.0,-0.5468424556,0.13413455700000002
AB5075_VIR-O_LSO__LSO__1.0,-0.4127018525,0.1191593209
AB5075_VIR-O_LSO__VIR-O__2.0,0.41764314820000004,-0.19039827950000002
AB5075_VIR-O_LSO__LSO__2.0,-0.9839786874,0.5138908174
AB5075_VIR-O_LSO__VIR-O__3.0,0.1291993075,0.0562637225
AB5075_VIR-O_LSO__LSO__3.0,0.9826887694,0.0640415066
AB5075_Zinc__Control__1.0,-4.6007267884,0.6809560306
AB5075_Zinc__Control__2.0,-7.6529494428,-0.5617638423
AB5075_Zinc__Control__3.0,12.2536762312,-0.1191921883
AB5075_Zinc__Zinc__1.0,-14.0206116021,1.1996649855000001
AB5075_Zinc__Zinc__2.0,-15.5614546998,0.8069588552
AB5075_biofilm+abx__planktonic__1.0,1.5112621346,1.2400077941
AB5075_biofilm+abx__planktonic__2.0,-0.5455351846000001,-0.5094757395
AB5075_biofilm+abx__biofilm__1.0,-4.0287492839,1.1305837876
AB5075_biofilm+abx__planktonic__3.0,-0.96572695,-0.7305320546
AB5075_biofilm+abx__biofilm__2.0,-3.1339742357,2.6392728323
AB5075_biofilm+abx__biofilm__3.0,-5.911752612,2.4060500924
AB5075_biofilm+abx__cip_biofilm__1.0,-14.0592165327,2.0333948129
AB5075_biofilm+abx__cip_biofilm__2.0,29.2972467695,1.9182183781000002
AB5075_biofilm+abx__tet_biofilm__1.0,-0.8896878691000001,3.0449946243
AB5075_biofilm+abx__cip_biofilm__3.0,25.7513411174,1.6516668712
AB5075_biofilm+abx__tet_biofilm__2.0,-0.4067261293,2.5915757493
AB5075_biofilm+abx__tet_biofilm__3.0,0.6552571293,1.707760052
AB5075_gigAB__kan_gigB__1.0,-4.9816341855,-4.8628134627
AB5075_gigAB__kan_gigB__2.0,-5.5196950061,-5.0919426992
AB5075_gigAB__kan_gigB__3.0,3.4683551446,-1.2967680459
AB5075_gigAB__gigB__1.0,-6.6904117699,-5.0459048014
AB5075_gigAB__gigB__2.0,-7.6349260543,-5.0806307043
AB5075_gigAB__gigB__3.0,-7.2772771188,-4.6196541107
AB5075_gigAB__kan_gigA__1.0,2.7999977978,-0.7734703409
AB5075_gigAB__kan_gigA__2.0,-5.3536522813000005,-4.9930901239
AB5075_gigAB__kan_gigA__3.0,-5.6754678091,-5.1706580062
AB5075_gigAB__gigA__1.0,-6.3126260177,-5.1634882992
AB5075_gigAB__gigA__2.0,-4.6936306372,-4.4280169336
AB5075_gigAB__gigA__3.0,-6.3074902057,-4.7407439871
AB5075_gigAB__kan_WT__1.0,-0.36579013320000003,-0.7758425814000001
AB5075_gigAB__kan_WT__2.0,-0.4887345316,-0.6106831626
