,-0.0901030212427961,-0.07208241699423687,-0.054061812745677645,-0.03604120849711842,-0.018020604248559197,2.7755575615628914e-17,0.018020604248559252,0.036041208497118477,0.0540618127456777,0.07208241699423693,0.09010302124279615,0.10812362549135537,0.1261442297399146,0.14416483398847382,0.16218543823703305,0.18020604248559227,0.1982266467341515,0.21624725098271072,0.23426785523126994,0.25228845947982914
thresh,-0.0991133233670757,0.0991133233670757,1,,,,,,,,,,,,,,,,,
unreg,0,0,7,61,844,2853,643,76,15,4,2,1,1,0,1,2,3,1,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['PN96_RS15675'],['cysK'],[],['PN96_RS15175'],['cysI' 'PN96_RS11980'],['cobA' 'PN96_RS15165' 'cysC'],['cysN'],['cysD'],[]
