,ybjG
Cr_1,0.0070080537733251715
Cr_2,0.015768338373517158
Cr_3,0.0282977488194208
Cr_4,0.043204118208835726
Cr_5,0.059417965950859984
Cr_6,0.07854485009778535
Fe_1,-0.010479898736418764
Fe_2,-0.03786700520640345
Fe_3,-0.07460283990522157
Fe_4,-0.11956466918350052
Fe_5,-0.1650127324165237
Fe_6,-0.19998025811621584
Cd_1,0.003205935066162489
Cd_2,0.009252569646601806
Cd_3,0.01865079180523437
Cd_4,0.019779426915582453
Cd_5,0.019997112347533975
Cd_6,0.024706697559059985
Zn_1,-0.014995282676408197
Zn_2,-0.005788785668089694
Zn_3,-0.0043684985635378025
Zn_4,-0.005925571203748177
Zn_5,-0.008006184074324643
Zn_6,-0.0006726595470860179
Cu_1,0.0026574113838069785
Cu_2,0.004563199940318832
Cu_3,0.006007701829162182
Cu_4,0.006251732745980303
Cu_5,0.0031286535647732897
Cu_6,0.007081659733827652
Pb_1,0.007491244066616336
Pb_2,0.009668916037723695
Pb_3,0.016147126811307474
Pb_4,0.016320891746819843
Pb_5,0.01764183028134545
Pb_6,0.01809096561457633
