,A,NtrC,RpoN
R2,,0.7442622559223333,0.04524322333328468
xmin,,-5.0016790975,-2.3873792415
xmid,,0.35305361551680925,-0.29908335082679627
xmax,,2.3228636585,1.0586750145
ystart,,-0.5587779865404192,-0.6515327839049956
yend,,34.80366500767384,3.9779680443290113
control__wt_glc__1,-0.0386280455,-0.0663149515,-0.0046102245
control__wt_glc__2,0.0386280455,0.0663149515,0.0046102245
fur__wt_dpd__1,1.3050903872,-0.9027221265,0.7030172055
fur__wt_dpd__2,1.1473911813,-0.8100453285,0.8161369585
fur__wt_fe__1,1.0768699784,0.3333157335,-0.0984432415
fur__wt_fe__2,1.2451325527,0.1918387795,-0.0146245195
fur__delfur_dpd__1,0.6528697397000001,-0.9745198565000001,0.5910067835
fur__delfur_dpd__2,0.2645967475,-0.9791649365,0.7714851735
fur__delfur_fe2__1,0.3153997593,-0.5153295755,0.1582958355
fur__delfur_fe2__2,0.1906333358,-0.6166971005,0.09519432950000001
acid__wt_ph5__1,0.4678872235,-0.030201500500000002,0.1518490055
acid__wt_ph5__2,0.4226874366,-0.0418123075,0.22540910150000001
acid__delgadx_ph5__2,0.26433294830000004,0.0907959675,0.2189185305
acid__delgadw_ph5__1,-0.0437250906,-0.1128848325,0.1845077045
acid__delgadw_ph5__2,0.5883379384,-0.1520608205,0.1457626175
acid__delgade_ph5__1,0.4572147606,0.0096443935,0.16061627050000002
acid__delgade_ph5__2,1.0930530885,0.0527451275,0.23216701250000002
oxidative__wt_pq__1,1.4802334988,-0.3496920405,0.4468107435
oxidative__wt_pq__2,2.1760583693,-0.2896351935,0.3896680745
oxidative__deloxyr_pq__1,1.0295976593,-0.4274229505,0.3630092975
oxidative__deloxyr_pq__2,1.0021443925,-0.4273335855,0.36022816350000003
oxidative__delsoxr_pq__1,0.7248205545,-0.4371913215,0.45338366350000003
oxidative__delsoxr_pq__2,0.7362207906,-0.43687249850000004,0.43859741750000003
oxidative__delsoxs_pq__1,1.473134659,-0.1740475125,0.6504048325
oxidative__delsoxs_pq__2,2.0826058533,-0.08507181550000001,0.6203968145000001
nac_ntrc__wt_csn__1,35.6284979515,1.0903374365,0.3878049415
nac_ntrc__wt_csn__2,35.6857227489,1.1212646785,0.38617062950000003
nac_ntrc__wt_cytd__1,34.6240347317,2.1180870945,0.1780138735
nac_ntrc__wt_cytd__2,34.1220680305,2.1021411325,0.14013047450000002
nac_ntrc__wt_gln__1,29.028300911,2.2411077535,0.38755840750000004
nac_ntrc__wt_gln__2,29.4248848055,2.2415717735,0.3112008835
nac_ntrc__bw_delnac_csn__1,37.7289825841,1.3996019745,0.6216542455
nac_ntrc__bw_delnac_csn__2,39.2885854159,1.7068628635,0.8497727805
nac_ntrc__bw_delnac_cytd__1,36.0718192712,2.0344093525,0.1636119455
nac_ntrc__bw_delnac_cytd__2,36.4709789394,1.9781382805,0.2066971445
nac_ntrc__bw_delnac_gln__1,30.021449107,2.3228636585,0.3080251985
nac_ntrc__bw_delnac_gln__2,30.2683703626,2.2629229235,0.2967956055
nac_ntrc__bw_delnac_nh4__1,-0.1643470081,-0.32113175450000003,-0.2040379745
nac_ntrc__bw_delnac_nh4__2,0.8305714063,-0.3399916805,-0.2513449025
misc__wt_no_te__1,0.6340392858,-0.8669320615,0.4210455765
misc__wt_no_te__2,0.8633966551000001,-0.48445816350000004,0.3409092855
misc__bw_delcbl__1,0.2142985185,-0.2871926555,0.26062700850000003
misc__bw_delcbl__2,-0.1294742885,-0.4352825115,0.3284104245
misc__bw_delfabr__1,0.357899872,-0.43369753250000004,0.12483548650000001
misc__bw_delfabr__2,0.5767029499,-0.39835266150000004,0.1031144385
misc__bw_delfadr__1,-0.18384744090000002,-0.7024347035,0.2262561375
misc__bw_delfadr__2,0.2098157737,-0.7518494535,0.2539545305
misc__nitr_031__1,23.9232895934,1.8695830555000001,0.3646965855
omics__wt_glu__1,0.128741408,-0.4930106595,0.2962516995
omics__wt_glu__2,0.688286578,-0.4107867365,0.4666522205
omics__wt_gly__1,5.0878107544,0.6424083655,0.08866842550000001
omics__wt_gly__2,5.3891506874,0.6454411235,0.0568323675
omics__wt_thr__1,5.0314606551,0.4849992675,0.7135937785
omics__wt_thr__2,3.9248934139,0.3777853725,0.7710917565000001
omics__bw_ac__1,0.5522627809,-1.1329429855,0.2626952735
omics__bw_ac__2,0.7452875272,-0.9975638155000001,0.2125339715
omics__bw_fum__1,-0.5066000389,-1.1282836225,-0.0719943285
omics__bw_fum__2,-0.3269388778,-1.0086983915,-0.1321674075
omics__bw_glc__1,0.42155206230000003,-0.21373389750000002,0.08772091650000001
omics__bw_glc__2,0.35861695200000004,-0.19944722450000002,0.0866318205
omics__bw_pyr__1,-0.1719843913,-1.3713202665,0.13049388650000002
omics__bw_pyr__2,0.7373335886,-1.1621855385,0.0750394705
ompr__wt_nacl__1,0.018748577000000002,-0.47424875250000004,0.8458476445
ompr__wt_nacl__2,0.47302669540000003,-0.3623504305,0.7361582905
ompr__bw_delompr_nacl__1,0.1075417323,-0.3721031905,0.3376980425
ompr__bw_delompr_nacl__2,0.9952528249,-0.4593646905,0.3812324995
minspan__wt_ade__1,-2.5028125125000003,-2.1838632055,-0.23121805050000002
minspan__wt_glc__2,-0.8707783479000001,-0.9505896595000001,-0.2809332425
minspan__wt_glc__3,-0.4287128291,-0.9092726735000001,-0.2902247825
minspan__wt_glc__4,-0.8356424732000001,-0.7960748085,-0.2054288275
minspan__wt_glc_anaero__1,-0.7480625934,-1.3021550305,0.0389202145
minspan__wt_glc_anaero__2,-1.3478697719000001,-1.5035946495,0.0609900175
minspan__wt_trp__1,-0.5427302873000001,-0.9953353275000001,0.1072953325
minspan__bw_delcra_glc__2,-1.5365667988,-1.0402592785,0.0527145325
minspan__bw_delcra_trp__1,0.1306912174,0.16517766650000001,0.1089791855
minspan__bw_delmntr__1,0.9688391723,-0.5728476695,0.2383428175
minspan__bw_delnac_ade__1,-1.5440653301,-1.3211906065,0.0018527365
minspan__bw_delnac_glc__1,1.0614787025,-1.0241365895,-0.3356794605
cra_crp__wt_ac__1,1.4148206330000002,-1.2950856365,0.1917987605
cra_crp__wt_ac__2,1.6188055966000001,-1.2142403275,0.1532170935
cra_crp__wt_fru__1,1.5052953545,-0.9904316025000001,0.2657675905
cra_crp__wt_fru__2,0.6253654727,-1.1206215635,0.3237425105
cra_crp__delcra_ac__1,0.6947225128000001,-1.3056248495,-0.023381640500000002
cra_crp__delcra_ac__2,1.2745880416,-1.2152266735000001,-0.1429831305
cra_crp__delcra_fru__1,-0.7958278201000001,-0.1799304905,0.10736111150000001
cra_crp__delcra_fru__2,0.07386888,-0.1304773895,0.12499276150000001
cra_crp__delcra_glc__1,0.0710451788,-0.2908591135,-0.0261596815
cra_crp__delcra_glc__2,0.22706899360000002,-0.1417137605,-0.1007299425
rpoB__wt_031__1,16.5141601742,1.3949993055,-0.056968540500000005
rpoB__wt_044__1,15.8069988524,1.5035136384999999,0.22376482050000002
rpoB__wt_lb__1,1.1838076325,-0.9137006765000001,-0.028158271500000002
rpoB__wt_lb__2,1.6143294397,-0.9558305525,0.0103283685
rpoB__rpoBE546V_031__1,21.7746777155,1.2908964935,-0.1267133255
rpoB__rpoBE546V_044__1,21.5386662779,1.2412249895,0.023719754500000002
rpoB__rpoBE546V_lb__1,0.2190006029,-1.1203196115,-0.013294588500000001
rpoB__rpoBE546V_lb__2,0.5265404382000001,-1.0573056785,-0.0162517615
rpoB__rpoBE546V_glc__1,0.689527055,-0.2110427685,-0.5141145255
rpoB__rpoBE672K_glc__1,0.6010392237000001,-0.0589953355,-0.2027603775
rpoB__rpoBE672K_glc__2,0.4617200879,-0.0306049135,-0.22850633750000002
rpoB__rpoBE672K_lb__1,-0.6866597934,-1.6649322175,-0.6724268015
rpoB__rpoBE672K_lb__2,-0.6418362947,-1.4809584065,-0.5883223085
crp__wt_fru__1,-0.4438992996,-0.3250443155,-0.2614936275
crp__wt_glyc__1,0.2559337208,-0.6119121665,-0.4111413085
crp__wt_glyc__2,-0.2551217357,-0.5592038885,-0.31615505250000003
crp__delar1_glyc__1,0.9988042698,-0.5303713995,0.6530569715
crp__delar1_glyc__2,0.5715528985,-0.43894030650000004,0.6094381865
crp__delar1ar2_glyc__1,1.1076649829,-0.7439360155,0.41063416150000004
crp__delar1ar2_glyc__2,0.6095094817000001,-0.7689202095000001,0.39263840650000004
crp__delar1ar2_glyc__3,0.7628378826000001,-0.8432862455,0.3384137365
crp__delar2_glyc__1,-1.1601758809,-0.4887759915,0.23901305750000001
crp__delar2_glyc__2,-0.6284041526,-0.7579041665,0.3881425055
crp__delar2_glyc__3,-1.1774295215000001,-0.6376105735,0.5417163865
crp__delcrp_fru__1,0.8184361655,-0.2609810955,0.48734105450000004
crp__delcrp_fru__2,0.8343094034,-0.2192330835,0.6076043145000001
crp__delcrp_fru__3,0.6715077212,-0.2518783275,0.4631423375
crp__delcrp_glc__1,0.0749497446,-0.8290001095,0.6373608285
crp__delcrp_glc__2,0.5328692043000001,-0.9082314925,0.6669930295000001
crp__delcrp_glc__3,-0.3324932948,-0.9650134365,0.5979555295
crp__delcrp_glyc__1,-0.3595244007,-0.8602257135,0.4546922765
crp__delcrp_glyc__2,0.39200459320000003,-0.9548261575,0.47694144850000003
crp__delcrp_glyc__3,-0.18705479860000002,-1.0496985455,0.4892179915
glu__glu_ale3__1,-0.4825475342,-1.5916900025,-0.1601779305
glu__glu_ale4__1,-0.641557039,-0.5818395405,-0.2800279565
glu__glu_ale5__1,-0.2186363551,-0.4332083675,-0.6870798615
glu__glu_ale6__1,0.1381558549,2.7528500000000002e-05,-0.5723060855000001
glu__glu_ale8__1,-0.1031170576,-1.6435674565,0.1635734905
glu__glu_ale9__1,-0.4710281067,-0.8641334475,0.0031536635000000003
glu__glu_ale10__1,-0.3269231093,-1.1934246325,-0.2871971685
42c__wt_42c__1,1.0952582882,-0.4924464915,0.0244120205
42c__42c_ale1__1,-0.4922117426,-1.0464060355,0.3491200385
42c__42c_ale2__1,-0.1216843207,-1.0837548765,-0.3153191495
42c__42c_ale3__1,0.0801552434,-0.5191260215,0.09912298550000001
42c__42c_ale4__1,1.060998666,-0.5096285155,-0.1073433455
42c__42c_ale5__1,0.6394602311,-0.8832038325,-0.2023175995
42c__42c_ale6__1,0.1969298684,-0.5320815265000001,0.8135905605
42c__42c_ale8__1,-0.4621989664,-0.6995238575,0.32016739250000004
42c__42c_ale9__1,-0.5777157725000001,-0.15691161750000002,-0.0553719955
42c__42c_ale10__1,0.3024960028,-0.7327512955000001,0.21542995750000002
ssw__wt_ac__1,1.3095223359000001,-1.8295548605,-0.2178078165
ssw__wt_glc__1,-1.1335230184,-0.8193041815000001,-0.2212727485
ssw__wt_glyc__1,-0.7173163408000001,-0.062033437500000004,-0.2125297985
ssw__wt_xyl__1,-0.595488745,-0.3873148295,0.4108722805
ssw__glc_ale1__1,-1.3420897876,-1.5941472935,-0.7788251875000001
ssw__glc_ale2__1,-0.5693878112,-1.3149935145,-0.0637925315
ssw__glc_ale3__1,-0.4910800583,-0.3067341395,0.2370279345
ssw__glyc_ale1__1,-2.8739202650999998,-0.7266657625,-0.3120889155
ssw__glyc_ale2__1,-1.0841013794,-0.3533501385,0.2020547685
ssw__xyl_ale1__1,3.0711658226,-1.5525453985,-0.1082888095
ssw__xyl_ale2__1,-0.1101573035,-0.8624242375000001,-0.1497820355
ssw__xyl_ale3__1,2.6843773058,-0.10362368050000001,-0.3262490615
ssw__glc_ac_ac2__1,-0.012322486,-0.4949791975,-0.0901773505
ssw__glc_ac_glc1__1,1.4796446816,-0.3927684555,-0.28990390050000003
ssw__glc_glyc_glc__1,-1.2698979856000001,-1.0540999095,-0.2741644015
ssw__glc_glyc_glyc__1,0.0536624839,-1.3081330935,-0.45250245850000004
ssw__glc_xyl_glc__1,-2.1906192962,-1.1727561105,-1.0410889935
ssw__glc_xyl_xyl__1,-1.3747314223,-1.2587677035,-0.8552477355
ica__wt_glc__1,-0.12005229270000001,-1.0288914735,-0.5082379055
ica__wt_glc__2,-0.5146237404,-0.9416034705,-0.4994340875
ica__wt_glc__3,-0.9490637247,-1.2980526275,-0.1040741495
ica__wt_glc__4,-1.17696653,-1.6928023475,-0.2792215905
ica__arg_sbt__1,2.4035632144,-1.5349266995000002,-0.2671002145
