,caiC
Cr_1,-0.01928168321725326
Cr_2,-0.02065588712472753
Cr_3,-0.01612063997055058
Cr_4,-0.0012937781327277099
Cr_5,0.02583342724817916
Cr_6,0.04188622228143025
Fe_1,-0.015084650809002282
Fe_2,-0.029785613106033414
Fe_3,-0.0391886996612336
Fe_4,-0.05497067325280016
Fe_5,-0.05427264307646226
Fe_6,-0.0509675424575609
Cd_1,-0.0014779546297509075
Cd_2,0.005499298523606635
Cd_3,0.01370762079475962
Cd_4,0.015822233084552103
Cd_5,0.011204169914737577
Cd_6,0.011818055615825572
Zn_1,-0.006726960944467095
Zn_2,-0.009708341715504313
Zn_3,-0.0014199525469403356
Zn_4,0.015315882437502109
Zn_5,0.026603768775708327
Zn_6,0.029392536833609317
Cu_1,0.001892575801885845
Cu_2,0.00874011265112937
Cu_3,0.016218843114593297
Cu_4,0.025686870245382947
Cu_5,0.03301778597270788
Cu_6,0.03460038945398878
Pb_1,-0.0021771738410109064
Pb_2,0.0018961270350703547
Pb_3,0.00439465107975019
Pb_4,0.014494567256301638
Pb_5,0.02341402386223354
Pb_6,0.02698013015848957
