,ydeO
Cr_1,-0.004611899677621609
Cr_2,-0.00528935686013316
Cr_3,-0.003961196130404744
Cr_4,-0.004625967477023496
Cr_5,-0.002067023229155701
Cr_6,-0.0006777168041801282
Fe_1,-0.008962994967036095
Fe_2,-0.045923718148821915
Fe_3,-0.10275984259557756
Fe_4,-0.1747979193228692
Fe_5,-0.2532721947196637
Fe_6,-0.3263806835397807
Cd_1,0.005243248086327799
Cd_2,0.011731638082345031
Cd_3,0.01816925326588734
Cd_4,0.02455763910551912
Cd_5,0.02646319950945734
Cd_6,0.033294020681071415
Zn_1,0.0054473125616251615
Zn_2,0.009456760962538831
Zn_3,0.01490702256955903
Zn_4,0.018260932105658757
Zn_5,0.025517226343135555
Zn_6,0.039749237067463014
Cu_1,0.005687327983148096
Cu_2,0.01273374026548842
Cu_3,0.01859527456942969
Cu_4,0.025129917593617216
Cu_5,0.03130511805566365
Cu_6,0.03978603889005505
Pb_1,0.008876980909822026
Pb_2,0.019370040417680867
Pb_3,0.035660889207657316
Pb_4,0.050978534366819886
Pb_5,0.06669282883259782
Pb_6,0.07631287601480757
