,PSPTO_RS29940
SRX1828913,-0.1828687745
SRX1828914,0.8643586823
SRX1828915,0.2159450944
SRX1828916,0.7891408301
SRX1828917,-0.03307632
SRX1828918,0.3555756443
SRX3983989,-0.37692906200000004
SRX3983990,-0.2488337877
SRX3983993,-0.6360762521000001
SRX3983994,-1.1045354657
SRX3983995,-0.052237320600000005
SRX3983996,-0.9965277012
SRX3983997,-0.7901116389
SRX3983998,-0.284346319
SRX3983999,0.0039895678000000006
SRX3984000,-0.5902000802
SRX3984001,-0.5729295529
SRX3984002,-0.6134270217000001
SRX3984003,-0.934823033
SRX3984004,0.0629881335
SRX3984005,-0.9953497168000001
SRX3984006,-0.7143217632000001
SRX3984007,-1.0619163967
SRX3984008,-0.2300780252
SRX3984009,-0.2712307503
SRX3984010,-0.5764009604
SRX3984011,-0.3316173456
SRX3984012,-0.38711872680000003
SRX3984013,-0.6397328362
SRX3984014,-0.1009637364
SRX3984015,-0.9737951356000001
SRX3984016,-0.29792172510000003
SRX3984017,-0.49807825320000004
SRX3984019,0.0678154977
SRX3984020,-0.8682659359
SRX3984021,-0.8724434905
SRX3984022,-0.7032354685000001
SRX3984023,0.0002881536
SRX3984024,-0.4087753563
SRX3984025,-0.3079580965
SRX3984026,-1.1217346922
SRX3984027,-0.4171072705
SRX3984028,0.175038315
SRX3984029,-0.4496332458
SRX3984031,0.1199904381
SRX3984032,-0.1057837699
SRX3984034,-0.019182962
SRX3984035,-2.1426922388
SRX3984036,-0.12200707200000001
SRX3984037,-0.28881375400000003
SRX3984038,-0.0403775539
SRX3984039,-0.2076607997
SRX3984040,-0.2474635231
SRX3984041,-0.0458212506
SRX3984042,-1.2430126856000001
SRX3984043,-1.6803413955000002
SRX3984045,0.2446065296
SRX3984046,-0.1174642104
SRX3984047,-0.6198119465
SRX3984048,-0.854146764
SRX3984049,-1.1615885762
SRX3984050,-1.1963419766
SRX3984051,-0.8769448224
SRX3984052,-0.28235978030000003
SRX3984056,-0.07308760880000001
SRX3984057,-0.2179146585
SRX3984058,0.1814265224
SRX3984059,-0.1930857461
SRX3984061,-0.4445740265
SRX3984062,-0.15515732000000002
SRX3984063,-0.036891386400000004
SRX3984064,-0.4541569493
SRX3984065,-0.182705166
SRX3984066,-0.29067594880000003
SRX3984067,-0.3817868527
SRX3984068,-0.4322182727
SRX3984069,-0.7618200357
SRX3984070,-0.8577060378
SRX3984071,-0.6681521768
SRX3984073,-0.0943768695
SRX3984074,-0.1711836423
SRX3984077,-0.18139617100000002
SRX3984078,-0.3142186866
SRX3984079,-0.9696630484000001
SRX3984080,0.1363590188
SRX3984082,-0.30967256320000003
SRX3984084,0.36097504010000003
SRX6997963,0.2613708498
SRX6997964,0.0926034466
SRX6997965,0.1125041848
SRX6997967,0.18868183300000002
SRX6997968,-0.1113337558
SRX6997969,-0.2268476822
SRX6997971,-0.4500526828
SRX6997972,-0.2821850483
SRX6997973,-0.2991095836
SRX3159100,0.0494213125
SRX3159101,-0.202411206
SRX3159102,-0.0301279451
SRX3159103,0.1831178386
SRX3159000,-0.0168677209
SRX3159001,-0.137905204
SRX3159002,-0.7862226765
SRX3159003,-0.4761167932
SRX3159004,-0.2078411023
SRX3159005,-0.5454221478
SRX3159006,-0.6831766642
SRX3159007,-0.3036186139
SRX3159008,-0.25240114
SRX3159009,-0.0366191
SRX3159010,-0.8941363329
SRX3159012,-0.7835611606
SRX3159013,-1.0572234735
SRX3159014,-1.1218622421
SRX3159015,-0.7282967156
SRX3159016,-1.0353367727
SRX3159017,-1.4967513527
SRX3159018,-0.5837113145
SRX3159019,-1.336982334
SRX3159020,-0.6047717179000001
SRX3159021,-1.171288192
SRX3159022,-0.8832361444
SRX3159023,-1.2706008799
SRX3159024,-1.3010466326
SRX3159025,-1.4554170094
SRX3159026,0.1641173457
SRX3159027,-0.007042983300000001
SRX3159028,-0.2129743386
SRX3159029,-0.3230839743
SRX3159030,0.4588340514
SRX3159034,-0.5771448782
SRX3159036,0.1466245225
SRX3159037,0.4218401882
SRX3159041,0.11020005740000001
SRX3159042,0.0740513098
SRX3159043,0.3478918498
