,ydgA
Cr_1,-0.0014829084352628475
Cr_2,0.0035911936288373298
Cr_3,0.0043351474809737575
Cr_4,0.009907694519960862
Cr_5,0.009090326173099563
Cr_6,0.007325488450553168
Fe_1,-0.008728553885321488
Fe_2,-0.027822802300541502
Fe_3,-0.04926958281083585
Fe_4,-0.07715826581086511
Fe_5,-0.09373847923740997
Fe_6,-0.1037722940940174
Cd_1,-0.0006367090937091764
Cd_2,0.0058485118988075395
Cd_3,0.009251977621337924
Cd_4,0.016054363122506868
Cd_5,0.020899863564061063
Cd_6,0.030220141713258507
Zn_1,-0.014371651578180041
Zn_2,-0.019994334411129903
Zn_3,-0.013218299443530273
Zn_4,0.008976888030295373
Zn_5,0.0271114791358443
Zn_6,0.03958361425062134
Cu_1,0.006800875923732042
Cu_2,0.019144770733792508
Cu_3,0.03637157136273152
Cu_4,0.05259229873558802
Cu_5,0.0618633278312476
Cu_6,0.07425359871198442
Pb_1,0.0026531180505829305
Pb_2,0.011562742459441992
Pb_3,0.02357743477187571
Pb_4,0.03763016964677601
Pb_5,0.048683572052502684
Pb_6,0.06779753105979389
