,A,NsrR
R2,,0.0
xmin,,-0.897082636
xmid,,
xmax,,5.797296702
ystart,,0.9950209975230674
yend,,0.9950209975230674
control__wt_glc__1,-0.1276388674,0.020173297
control__wt_glc__2,0.1276388674,-0.020173297
fur__wt_dpd__1,9.2121603897,0.021329234000000002
fur__wt_dpd__2,9.8984358588,-0.09268174200000001
fur__wt_fe__1,0.8122581762000001,-0.16230739300000002
fur__wt_fe__2,0.6152882931,0.133872327
fur__delfur_dpd__1,5.3283874536999996,0.13012690300000002
fur__delfur_dpd__2,4.4494399253,0.014325489
fur__delfur_fe2__1,1.1657858296,0.056326931000000004
fur__delfur_fe2__2,1.4039925506,0.104587068
acid__wt_ph5__1,0.9357216931000001,0.067137895
acid__wt_ph5__2,0.8793167537000001,0.180477998
acid__delgadx_ph5__2,0.412546391,-0.14339964400000002
acid__delgadw_ph5__1,1.1019486291,0.313253426
acid__delgadw_ph5__2,0.6411842139,0.062197392000000004
acid__delgade_ph5__1,1.0883281448,0.08034081
acid__delgade_ph5__2,0.9825008698000001,0.289266735
oxidative__wt_pq__1,1.2289256394,1.94248497
oxidative__wt_pq__2,0.881999678,0.775742355
oxidative__deloxyr_pq__1,-0.7367906493,1.352115944
oxidative__deloxyr_pq__2,-0.4445157581,1.027233735
oxidative__delsoxr_pq__1,0.24600966500000002,0.35141787300000005
oxidative__delsoxr_pq__2,0.4201788812,0.5156249030000001
oxidative__delsoxs_pq__1,1.2618359379,0.9125774830000001
oxidative__delsoxs_pq__2,1.3902130738,0.89722094
nac_ntrc__wt_csn__1,0.3761162155,0.46911484000000003
nac_ntrc__wt_csn__2,0.1512134223,0.47314755000000003
nac_ntrc__wt_cytd__1,0.3241077388,-0.282956817
nac_ntrc__wt_cytd__2,0.25692469560000003,-0.10220717900000001
nac_ntrc__wt_gln__1,0.5245475205,0.27314687
nac_ntrc__wt_gln__2,0.6168362541,0.13873977
nac_ntrc__bw_delnac_csn__1,2.0698206241,0.9049030650000001
nac_ntrc__bw_delnac_csn__2,0.3499742997,0.8081028410000001
nac_ntrc__bw_delnac_cytd__1,0.8588659282000001,0.598621205
nac_ntrc__bw_delnac_cytd__2,0.9637921429,0.8011400350000001
nac_ntrc__bw_delnac_gln__1,0.7130096734,0.820466561
nac_ntrc__bw_delnac_gln__2,0.4721381317,0.47354252900000005
nac_ntrc__bw_delnac_nh4__1,-0.0812150415,-0.06351694100000001
nac_ntrc__bw_delnac_nh4__2,0.43524848580000003,0.10809149500000001
misc__wt_no_te__1,0.21458924980000002,0.5150649900000001
misc__wt_no_te__2,-0.4683881006,0.14068449100000002
misc__bw_delcbl__1,0.9314788485000001,0.55209571
misc__bw_delcbl__2,0.2773029519,0.5220822150000001
misc__bw_delfabr__1,1.1621530477,0.012872896
misc__bw_delfabr__2,0.7679032435,0.18995863000000002
misc__bw_delfadr__1,-0.1718763623,0.349043107
misc__bw_delfadr__2,-0.0625112892,0.74366254
misc__nitr_031__1,-0.8666664633000001,0.79582887
omics__wt_glu__1,0.5005139042,-0.37410638900000004
omics__wt_glu__2,-0.1682080269,-0.5305232790000001
omics__wt_gly__1,0.1298655005,-0.5405871990000001
omics__wt_gly__2,-0.4474960898,-0.7345762330000001
omics__wt_thr__1,3.0647098089,-0.897082636
omics__wt_thr__2,2.0346399626,-0.639940578
