,A,PyrR
R2,,0.5855609172004295
xmin,,-7.000966666666668
xmid,,-3.0945627241167495
xmax,,1.4010333333333342
ystart,,-19.40663946664003
yend,,6.272455278347422
LBexp_1,-3.9278212654,0.08423333333333183
LBexp_2,-11.408345205,-0.9346666666666668
LBexp_3,-11.0898576524,-1.1461666666666677
LBtran_1,-19.4533027147,-4.1881666666666675
LBtran_2,-15.8376582662,-4.528966666666667
LBtran_3,-13.8954933915,-4.973566666666667
LBstat_1,-26.4483605619,-3.4553666666666665
LBstat_2,-24.5205667217,-3.552666666666667
LBstat_3,-22.2993370522,-3.867466666666667
LBGexp_1,-1.4673835493,-0.27476666666666816
LBGexp_2,4.9242096127,1.103233333333332
LBGexp_3,-1.9408278902,-1.3719666666666672
LBGtran_2,-8.8781110963,-2.033566666666667
LBGtran_3,-7.2016459539,-0.17246666666666677
LBGstat_1,-6.3824040443,-0.5145666666666671
LBGstat_2,-4.1419615415,-1.5144666666666673
LBGstat_3,-10.9999904371,-1.7551666666666677
S0_1,-1.6696954961000001,-2.329766666666668
S0_2,-0.7021867218000001,-2.1911666666666676
S0_3,-2.4944783185,-2.3901666666666674
S1_1,-29.0687866365,-3.291266666666667
S1_2,-28.5677278228,-3.491366666666668
S1_3,-28.9322216592,-3.0643666666666682
S2_1,-14.6065542956,-2.1344666666666665
S2_2,-10.4124765585,-2.3367666666666675
S2_3,-12.9170380192,-3.191466666666667
S3_1,-7.1114993518,-0.7301666666666673
S3_2,-5.1380741615,-0.982166666666668
S4_1,-15.9587134531,-0.9999666666666673
S4_2,-18.1928737674,-2.6389666666666667
S4_3,-16.0790350601,-2.760866666666667
S5_1,-20.0211034459,-2.095766666666668
S5_2,-23.3500447345,-1.8924666666666674
S5_3,-20.5370404159,-1.852266666666667
S6_1,-25.2518994566,-4.502466666666667
S6_2,-20.1728936674,-6.834666666666667
S6_3,-24.5142413134,-4.278066666666668
S6/t_1,-24.2193987745,-4.907366666666668
S6/t_2,-18.1139252896,-7.000966666666668
S6_4,-24.0485293831,-4.591666666666667
S6_5,-24.840281306,-4.178866666666668
S6_6,-25.3083628393,-3.9892666666666674
S7_4,-23.731775799,-3.767566666666667
S7_5,-23.6361606504,-4.035866666666667
S7_6,-22.3496176032,-3.7026666666666674
S8_4,-23.1471321301,-4.510666666666667
S8_5,-18.9931564526,-5.131266666666667
G135_1,-19.1943699656,-1.1314666666666682
G135_3,-18.1521316991,-2.710866666666668
G150_1,-22.3904881586,-2.155866666666668
G150_2,-18.3883790997,-0.8916666666666675
G150_3,-23.2368653648,-1.9586666666666677
G180_1,-17.7568312583,-1.3940666666666672
G180_2,-17.3660170171,-1.0376666666666665
G180_3,-19.0235635441,-2.032166666666667
C30_1,-22.7359889564,-3.4815666666666676
C30_2,-22.8958600418,-2.9938666666666673
C90_1,-18.1285115402,-2.3398666666666674
C90_2,-15.6027059589,-1.9677666666666678
BI_1,-12.4001367813,-0.4706666666666681
BI_2,-9.5035962965,-0.14876666666666694
