,hupA
Cr_1,-0.009098646769268966
Cr_2,-0.01400360307249016
Cr_3,-0.013006313465260842
Cr_4,-0.009494381628064541
Cr_5,-0.0065088734128539
Cr_6,-0.004543227916703697
Fe_1,-0.025058695251137603
Fe_2,-0.03441331913959022
Fe_3,-0.03294330917963297
Fe_4,-0.03217184621676816
Fe_5,-0.031605229721735816
Fe_6,-0.03198550300688429
Cd_1,0.004207089288418972
Cd_2,0.008737699329400203
Cd_3,0.015234810088974596
Cd_4,0.017959778296678004
Cd_5,0.01717091972816411
Cd_6,0.01964303558795217
Zn_1,0.0011571173645360958
Zn_2,-0.0033163374917285627
Zn_3,0.0004202742258267855
Zn_4,0.01400696117674984
Zn_5,0.02193093265379931
Zn_6,0.020391502298359253
Cu_1,0.00884829501059556
Cu_2,0.016308339112916414
Cu_3,0.028180911488418742
Cu_4,0.036638406896740236
Cu_5,0.04408069383030597
Cu_6,0.05242816700229228
Pb_1,-0.01023131509568646
Pb_2,-0.016661038971966646
Pb_3,-0.022515516336015427
Pb_4,-0.02461796088320724
Pb_5,-0.0267376502293942
Pb_6,-0.023118872678116114
