,yddE
Cr_1,0.005239692573768948
Cr_2,0.01030240581565109
Cr_3,0.014674619797188763
Cr_4,0.01974144565942389
Cr_5,0.025763477338111004
Cr_6,0.030556745017025513
Fe_1,-0.010181060035492224
Fe_2,-0.02702205375003837
Fe_3,-0.04015634387086768
Fe_4,-0.05015431284850362
Fe_5,-0.058918378103807664
Fe_6,-0.07038616161957895
Cd_1,0.01286308759159863
Cd_2,0.022629025628028675
Cd_3,0.03062572410306051
Cd_4,0.04362530678471122
Cd_5,0.0502636747485937
Cd_6,0.06199534558439376
Zn_1,-0.003237453604787277
Zn_2,-0.005000616131470253
Zn_3,-0.008186688895468738
Zn_4,-0.004136923843407232
Zn_5,-0.00237777829438412
Zn_6,-0.0018090606796537282
Cu_1,0.002329013476232375
Cu_2,0.003928548724759715
Cu_3,0.014946530352718791
Cu_4,0.024820502815226082
Cu_5,0.031449941787670924
Cu_6,0.03936117213693952
Pb_1,0.00326006620369444
Pb_2,0.013456700180616564
Pb_3,0.023878082632711992
Pb_4,0.03516383090856539
Pb_5,0.04331506482832921
Pb_6,0.057407582778459226
