,appA
Cr_1,0.002265284008530434
Cr_2,0.009800166249749708
Cr_3,0.016315455584951004
Cr_4,0.0274067893133187
Cr_5,0.03786651894685169
Cr_6,0.04473448659413147
Fe_1,-0.00712456418025912
Fe_2,-0.01777490355911105
Fe_3,-0.029552227125003924
Fe_4,-0.0429306647842407
Fe_5,-0.0432919851782925
Fe_6,-0.04263384030740538
Cd_1,0.003896825565632901
Cd_2,0.00862944307393055
Cd_3,0.01203459326078839
Cd_4,0.016946453243981016
Cd_5,0.018275971998632
Cd_6,0.02420635200714064
Zn_1,-0.0027077994753971837
Zn_2,0.0016298178265963653
Zn_3,0.014230612297323043
Zn_4,0.0300059973374178
Zn_5,0.04188038580668937
Zn_6,0.053310664960449235
Cu_1,0.007655061167335026
Cu_2,0.011439159295904187
Cu_3,0.01820659087627811
Cu_4,0.02068444143677372
Cu_5,0.024922607537920145
Cu_6,0.033215920696416
Pb_1,0.0008423441011218379
Pb_2,0.0007249574855383753
Pb_3,0.0037014479124048037
Pb_4,0.005819429662009412
Pb_5,0.013414504085167315
Pb_6,0.019884046898170027
