,arcB
Cr_1,0.0004726023721845392
Cr_2,-0.004785697626900849
Cr_3,-0.006467648932479642
Cr_4,-0.0017450498226155393
Cr_5,0.0016862514566674985
Cr_6,0.0072084770159385044
Fe_1,-0.0370260078951949
Fe_2,-0.058978386907942215
Fe_3,-0.07902012638207244
Fe_4,-0.09274681680162547
Fe_5,-0.08845020972615718
Fe_6,-0.08265280788488794
Cd_1,0.0016629953988262054
Cd_2,0.003943174922717283
Cd_3,0.010722078043714035
Cd_4,0.015546173434389337
Cd_5,0.014341143140328303
Cd_6,0.01988755304991105
Zn_1,0.05325032167630715
Zn_2,0.31427535432232
Zn_3,0.6444482328667451
Zn_4,0.8311435766314607
Zn_5,1.0225890155058055
Zn_6,1.2296245876946557
Cu_1,0.0017474739555172346
Cu_2,0.0039682192131842075
Cu_3,0.00555012323816475
Cu_4,0.009705050540543035
Cu_5,0.012428253833039755
Cu_6,0.01912219316467029
Pb_1,0.016460335150160606
Pb_2,0.02578174383998858
Pb_3,0.016574206642143333
Pb_4,0.015063604962871378
Pb_5,0.0332834796736775
Pb_6,0.0590739877923877
