sample,new_3882656_3882766_c
LBexp_1,12.0201
LBexp_2,12.6364
LBexp_3,12.1265
LBtran_1,14.0289
LBtran_2,13.432
LBtran_3,13.5429
LBstat_1,12.3434
LBstat_2,11.7205
LBstat_3,11.2948
LBGexp_1,11.3001
LBGexp_2,12.3823
LBGexp_3,11.7453
LBGtran_2,12.6644
LBGtran_3,13.0671
LBGstat_1,13.0123
LBGstat_2,11.5705
LBGstat_3,12.3952
S0_1,14.7551
S0_2,14.7153
S0_3,14.8604
S1_1,15.4098
S1_2,15.2568
S1_3,15.0212
S2_1,13.6616
S2_2,13.8449
S2_3,13.6056
S3_1,13.2065
S3_2,13.3787
S4_1,12.7805
S4_2,11.8872
S4_3,12.2203
S5_1,11.9824
S5_2,12.2747
S5_3,12.2541
S6_1,11.4069
S6_2,9.5919
S6_3,11.6194
S6/t_1,11.2017
S6/t_2,9.043
S6_4,10.8791
S6_5,11.5995
S6_6,12.1817
S7_4,11.49
S7_5,11.2017
S7_6,11.3766
S8_4,10.8186
S8_5,10.4099
G135_1,9.1314
G135_3,8.1388
G150_1,9.9997
G150_2,10.2093
G150_3,10.1205
G180_1,9.007
G180_2,8.9281
G180_3,8.4566
C30_1,11.9953
C30_2,12.2609
C90_1,14.8926
C90_2,15.1857
BI_1,14.1306
BI_2,14.2224
BC_2,12.4524
BC/t_1,12.7079
BC/t_2,12.6765
BC_1,12.2909
Sw_1,12.9796
Sw_2,12.9544
BT_1,12.5837
BT_2,12.1909
B36_1,13.7169
B36_2,13.6462
B60_1,13.7711
B60_2,13.8347
M9exp_1,13.6371
M9exp_2,13.5612
M9exp_3,13.2999
M9tran_1,14.1245
M9tran_2,14.1922
M9tran_3,14.4235
M9stat_1,11.9282
M9stat_2,11.8042
M9stat_3,11.8355
M+G_1,13.2971
M+G_2,13.5919
M+G_3,13.568
Glu_1,13.8259
Glu_2,13.4598
Glu_3,13.5553
Fru_1,10.4276
Fru_2,14.6084
Fru_3,13.4024
Mal_1,13.6316
Mal_2,13.175
Mal_3,12.9058
G+S_2,13.1498
G+S_3,13.7605
Pyr_1,12.9375
Pyr_2,13.6574
Pyr_3,13.2734
Gly_1,12.4068
Gly_2,13.1937
Gly_3,11.4078
Glucon_1,12.2901
Glucon_2,12.3222
Glucon_3,10.4512
aero_1,14.1522
aero_2,13.2267
aero_3,14.0529
nit_1,13.1173
nit_2,13.8286
nit_3,13.1092
ferm_1,12.2843
ferm_2,12.6258
ferm_3,12.7534
T-5.40H_1,14.0409
T-4.40H_1,14.0166
T-3.40H_1,14.0569
T-2.40H_1,13.5396
T-1.40H_1,13.5259
T-1.10H_1,13.5724
T-0.40H_1,13.2945
T0.0H_1,13.1965
T0.30H_1,13.244000000000002
T1.0H_1,12.7556
T1.30H_1,12.8945
T2.0H_1,12.3245
T2.30H_1,12.9561
T3.0H_1,11.9748
T3.30H_1,12.1885
T4.0H_1,12.0628
T5.0H_1,12.1814
HPh_1,14.0938
HPh_2,13.4245
HPh_3,13.6513
LPh_1,13.4771
LPh_2,13.8876
LPh_3,13.2785
LPhT_1,14.5487
LPhT_2,14.4475
LPhT_3,14.3995
SMMPr_1,13.6002
SMMPr_2,13.5704
SMMPr_3,13.5933
HiTm_1,10.5117
HiTm_2,11.5889
HiTm_3,11.8976
LoTm_1,12.4827
LoTm_2,12.5279
LoTm_3,12.3978
HiOs_1,12.3673
HiOs_2,12.2674
HiOs_3,12.6264
BMM_1,13.4557
BMM_2,13.108
BMM_3,13.2205
Heat_1,13.0806
Heat_2,12.8817
Heat_3,12.6026
Cold_1,12.0839
Cold_2,11.5061
Cold_3,11.0662
Etha_1,12.8879
Etha_2,12.5242
Etha_3,12.5808
SMM_1,13.9628
SMM_2,14.01
SMM_3,14.1087
Salt_1,11.8401
Salt_2,11.553
Salt_3,11.4725
Mt0_1,12.4018
Mt0_3,12.2331
M0t45_1,13.4855
M0t45_2,13.3418
M0t45_3,13.3849
M0t90_1,12.4266
M0t90_2,13.3355
M0t90_3,13.2439
M40t45_1,12.9237
M40t45_2,14.6729
