,yeaH
Cr_1,-0.002908541018875614
Cr_2,-0.012969158587612724
Cr_3,-0.017724611361710326
Cr_4,-0.011541127153011874
Cr_5,-0.005854992023223596
Cr_6,-0.0007911642333920747
Fe_1,-0.03893798410036014
Fe_2,-0.07493339859581208
Fe_3,-0.09244929626762943
Fe_4,-0.11249119890681117
Fe_5,-0.1321948960901508
Fe_6,-0.14303848139960176
Cd_1,0.005905043112747764
Cd_2,0.012973750032134015
Cd_3,0.016976529146321587
Cd_4,0.024142399307974672
Cd_5,0.029445889462272293
Cd_6,0.04183339152624197
Zn_1,-0.009619994572433616
Zn_2,-0.009415704164296344
Zn_3,-0.022682925210025632
Zn_4,-0.050754208897102734
Zn_5,-0.09335383142029104
Zn_6,-0.11703152269036833
Cu_1,-0.002278139055153818
Cu_2,-0.0005953622276162968
Cu_3,0.0036912587519942718
Cu_4,0.014598473178688225
Cu_5,0.024524733920259032
Cu_6,0.032594230466144625
Pb_1,-0.004659228941300785
Pb_2,0.006326461061372959
Pb_3,0.01944791200926784
Pb_4,0.02873573164416078
Pb_5,0.05226032358058659
Pb_6,0.07696968115955702
