,rpoD
Cr_1,0.002028507325427793
Cr_2,0.0065861373382702275
Cr_3,0.017269605844519118
Cr_4,0.025411110537752867
Cr_5,0.030108647709585164
Cr_6,0.03531984504422743
Fe_1,-0.016748636942780417
Fe_2,-0.04203813974313909
Fe_3,-0.06257501101990262
Fe_4,-0.08000487989128209
Fe_5,-0.08847842494682771
Fe_6,-0.08071043098184835
Cd_1,0.00014534355313638178
Cd_2,0.0008566329770051415
Cd_3,0.00406418166012889
Cd_4,0.006001874839234375
Cd_5,0.005723277564999604
Cd_6,0.009318608133473565
Zn_1,-0.021178926330015155
Zn_2,-0.01545187513908285
Zn_3,0.02654846579408806
Zn_4,0.0708280378702597
Zn_5,0.09477299316977797
Zn_6,0.10653187493974196
Cu_1,0.002761776956077823
Cu_2,0.004778593155550383
Cu_3,0.009279882351161835
Cu_4,0.012872894727025809
Cu_5,0.014739760965302103
Cu_6,0.017976071052327052
Pb_1,-0.000441406910480792
Pb_2,0.004265798900551218
Pb_3,0.013296417924372255
Pb_4,0.025498142877724873
Pb_5,0.037066629008336086
Pb_6,0.04631389373327485
