,yadK
Cr_1,0.0016646644487461758
Cr_2,0.00487326112138017
Cr_3,0.005533162982860623
Cr_4,0.007183935146424489
Cr_5,0.005676935791305559
Cr_6,0.007736195782733716
Fe_1,-0.014754119683369182
Fe_2,-0.0283711882320264
Fe_3,-0.042944231210845285
Fe_4,-0.062106891370980535
Fe_5,-0.08831583022266429
Fe_6,-0.11065696817110046
Cd_1,0.003378815681009961
Cd_2,0.0010096018798247547
Cd_3,-0.003306214180264097
Cd_4,3.487528537521596e-05
Cd_5,-0.001784645200570922
Cd_6,0.002634158345714927
Zn_1,-0.0077577334336621845
Zn_2,-0.0049045785352106255
Zn_3,0.005236202180762993
Zn_4,0.017673238149942816
Zn_5,0.03781666953183858
Zn_6,0.048159993091668137
Cu_1,-0.001958446284218633
Cu_2,0.0003547258922453733
Cu_3,0.006593565301165393
Cu_4,0.017939602165991792
Cu_5,0.029783698816227958
Cu_6,0.04123622786785034
Pb_1,0.009896363060724486
Pb_2,0.011675280343877216
Pb_3,0.015033860934676404
Pb_4,0.019930556578550983
Pb_5,0.025745362092528274
Pb_6,0.032248826683436815
