,yhjC
Cr_1,0.0039189679538417024
Cr_2,0.006522179538573964
Cr_3,0.014396870283375041
Cr_4,0.026837044341216768
Cr_5,0.03445650017735214
Cr_6,0.02956015945974576
Fe_1,-0.03911151633535116
Fe_2,-0.0741934150947164
Fe_3,-0.09631490969644524
Fe_4,-0.11564687823718955
Fe_5,-0.1119122979130584
Fe_6,-0.12539011805625372
Cd_1,0.012118320859934023
Cd_2,0.01108226365517331
Cd_3,0.02063999804855465
Cd_4,0.023049421548692037
Cd_5,0.01527549034184363
Cd_6,0.025314137519494715
Zn_1,-0.09561127348172273
Zn_2,-0.12571268394531976
Zn_3,-0.14539757191759045
Zn_4,-0.12477893125891396
Zn_5,-0.10233370524387372
Zn_6,-0.07520611879050505
Cu_1,0.011142841834114271
Cu_2,0.007334658041194019
Cu_3,0.007918080613023163
Cu_4,0.0095123386145575
Cu_5,0.021173001412786014
Cu_6,0.033800425209344585
Pb_1,0.03339273141201308
Pb_2,0.02953916778610125
Pb_3,0.04178071880067685
Pb_4,0.062996855023287
Pb_5,0.08595978396536115
Pb_6,0.1360567099567401
