,rho
Cr_1,-0.013756373806310852
Cr_2,-0.01925060524671461
Cr_3,-0.021733203263465325
Cr_4,-0.02999624418312245
Cr_5,-0.039179422066519684
Cr_6,-0.059681441054396864
Fe_1,-0.021734615468418143
Fe_2,-0.057828132990733916
Fe_3,-0.10536276779008072
Fe_4,-0.13364372546788314
Fe_5,-0.16528017336969492
Fe_6,-0.18989532276565302
Cd_1,0.0029030921827189753
Cd_2,0.007705832987482111
Cd_3,0.01342767273327523
Cd_4,0.01748957989685921
Cd_5,0.01182721891310094
Cd_6,0.008179803759662612
Zn_1,-0.133431043379486
Zn_2,-0.13045196255156072
Zn_3,-0.14808800616243714
Zn_4,-0.14895825705946206
Zn_5,-0.1339187907084582
Zn_6,-0.10018141710110763
Cu_1,0.003863072723165714
Cu_2,0.0074557151564847955
Cu_3,0.015804614777857596
Cu_4,0.019131832378096045
Cu_5,0.021210011415859698
Cu_6,0.02124369601782993
Pb_1,-0.00020508849279346868
Pb_2,-0.00495952227430415
Pb_3,-0.005415019002083494
Pb_4,0.0017466605990991671
Pb_5,0.00904200672918175
Pb_6,0.01909779035890571
