,yccF
Cr_1,0.03162335667510451
Cr_2,0.08433279592383444
Cr_3,0.13989118355978006
Cr_4,0.20543405034729215
Cr_5,0.2781202550771432
Cr_6,0.3378952503763498
Fe_1,-0.00863518165357912
Fe_2,-0.016113325338108418
Fe_3,-0.012734388120100769
Fe_4,-0.002850089111852653
Fe_5,0.0036008334187647463
Fe_6,0.014506047713257732
Cd_1,-0.010454384466496876
Cd_2,-0.02115126707730741
Cd_3,-0.030059273219584806
Cd_4,-0.034871431117947486
Cd_5,-0.04261649122253213
Cd_6,-0.04394139407197942
Zn_1,-0.004742333834378622
Zn_2,-0.010158938637796116
Zn_3,-0.014060099522363504
Zn_4,-0.01533936590501046
Zn_5,-0.017866532532214048
Zn_6,-0.01644424766000083
Cu_1,-0.0006670003116246309
Cu_2,0.0015006789976493831
Cu_3,0.003584465874212794
Cu_4,0.002646243870349205
Cu_5,0.003950599891073445
Cu_6,0.005792044899203232
Pb_1,-0.00014378821434238873
Pb_2,0.0022516856510397614
Pb_3,5.617873957341685e-05
Pb_4,-0.00010106133948847596
Pb_5,3.4740603677155334e-06
Pb_6,0.008577616680677178
