,BSU_misc_RNA_39
M9exp_1,16.0904
M9exp_2,15.3938
M9exp_3,15.41
M9tran_1,15.1888
M9tran_2,14.9466
M9tran_3,15.2651
M9stat_1,14.6647
M9stat_2,14.1642
M9stat_3,14.0804
MG-0.1_1,15.0265
MG-0.1_2,14.1493
MG-0.1_3,15.9018
MG-0.2_2,15.2995
MG-0.2_3,15.5267
MG+5_1,15.4421
MG+5_2,15.1784
MG+5_3,14.6496
MG+10_1,16.0402
MG+10_2,15.4193
MG+10_3,14.21
MG+15_1,15.0473
MG+15_2,15.9437
MG+15_3,15.4877
MG+25_1,15.3289
MG+25_2,15.154000000000002
MG+25_3,15.6478
MG+45_1,15.7945
MG+45_2,14.6926
MG+45_3,15.8154
MG+60_2,15.0722
MG+60_3,15.4008
MG+90_2,14.5453
MG+90_3,15.9306
MG+120_1,13.5449
MG+120_2,15.3979
MG+120_3,15.2691
MG+150_1,15.1843
MG+150_3,16.197
GM-0.1_1,15.0525
GM-0.1_2,15.4581
GM-0.1_3,15.5288
GM-0.2_1,15.0546
GM-0.2_2,15.4389
GM-0.2_3,15.4684
GM+5_1,14.8604
GM+5_2,15.3643
GM+5_3,15.5446
GM+10_2,15.2165
GM+10_3,14.5619
GM+15_1,15.0535
GM+15_2,15.5467
GM+15_3,15.5228
GM+25_1,15.9416
GM+25_2,15.9414
GM+25_3,15.3306
GM+45_1,15.565
GM+45_2,14.5985
GM+45_3,14.8243
GM+60_1,15.3709
GM+60_2,14.3784
GM+60_3,14.6263
GM+90_1,15.4531
GM+90_2,15.067
GM+90_3,15.3767
GM+120_1,14.5125
GM+120_3,14.0052
GM+150_1,15.2735
GM+150_2,14.9417
GM+150_3,15.1974
BT_1,13.981
BT_2,13.201
B36_1,14.6294
B36_2,14.2557
B60_1,15.1172
B60_2,15.3712
S0_1,14.1486
S0_2,14.1349
S0_3,14.3222
S1_1,15.1931
S1_2,15.2954
S1_3,15.3061
S2_1,15.2703
S2_2,14.9159
S2_3,14.8997
S3_1,15.2264
S3_2,15.0683
S4_1,15.5817
S4_2,15.3289
S4_3,15.0644
S5_1,15.2763
S5_2,15.6363
S5_3,16.0253
S6_1,15.535
S6_2,14.3863
S6_3,15.4201
S6/t_1,15.4987
S6/t_2,13.4659
S6_4,14.5527
S6_5,15.074000000000002
S6_6,15.1712
S7_4,14.8798
S7_5,14.7996
S7_6,14.811
S8_4,14.5736
S8_5,14.733
G135_1,14.4863
G135_3,12.8514
G150_1,14.2807
G150_2,14.8933
G150_3,14.4449
G180_1,14.4061
G180_2,14.8361
G180_3,13.6875
T-5.40H_1,15.8163
T-4.40H_1,15.4841
T-3.40H_1,15.575
T-2.40H_1,15.1551
T-1.40H_1,15.2785
T-1.10H_1,14.8476
T-0.40H_1,15.3206
T0.0H_1,15.1094
T0.30H_1,14.5774
T1.0H_1,14.5385
T1.30H_1,14.9133
T2.0H_1,14.544
T2.30H_1,14.9446
T3.0H_1,14.8907
T3.30H_1,15.3931
T4.0H_1,15.1971
T5.0H_1,15.0107
LBexp_1,15.1376
LBexp_2,14.8915
LBexp_3,14.4235
LBtran_1,14.6194
LBtran_2,14.5566
LBtran_3,14.6317
LBstat_1,15.6104
LBstat_2,15.2493
LBstat_3,14.6147
LBGexp_1,14.5376
LBGexp_2,14.8256
LBGexp_3,15.1287
LBGtran_2,13.8837
LBGtran_3,14.6135
LBGstat_1,14.6836
LBGstat_2,14.2642
LBGstat_3,13.7792
Mt0_1,14.5664
Mt0_3,14.7405
M0t45_1,14.8035
M0t45_2,14.1833
M0t45_3,15.0124
M0t90_1,14.0019
M0t90_2,15.5273
M0t90_3,14.8234
M40t45_1,14.4536
M40t45_2,14.6565
M40t45_3,15.2041
M40t90_1,13.8788
M40t90_2,15.0965
M40t90_3,14.718
dia0_1,14.7746
dia0_2,14.7462
dia0_3,14.9303
dia5_1,14.3195
dia5_2,14.899
dia5_3,15.3252
dia15_1,15.4248
dia15_2,15.6035
dia15_3,13.8444
C30_1,14.0187
C30_2,14.3603
C90_1,14.9086
C90_2,15.1309
SMM_1,15.4274
SMM_2,15.343
SMM_3,15.3775
Salt_1,15.629
Salt_2,15.2858
Salt_3,15.251
M+G_1,14.8848
M+G_2,14.8216
M+G_3,14.9105
Glu_1,15.3005
Glu_2,15.2446
Glu_3,15.3268
Fru_1,15.2347
Fru_2,15.3814
Fru_3,14.6579
Mal_1,14.1418
Mal_2,14.6535
Mal_3,14.7063
G+S_2,14.7638
G+S_3,15.242
Pyr_1,15.0087
Pyr_2,15.4517
Pyr_3,15.1896
Gly_1,13.679
Gly_2,14.3092
Gly_3,12.423
Glucon_1,14.5966
Glucon_2,15.0425
Glucon_3,12.2173
BI_1,14.7126
BI_2,14.5973
BC_2,14.6222
BC/t_1,14.3278
BC/t_2,14.6706
BC_1,14.1014
Sw_1,13.3863
Sw_2,13.6141
BMM_1,15.2451
BMM_2,15.1436
BMM_3,14.9146
Heat_1,14.8509
Heat_2,14.7636
Heat_3,14.0191
Cold_1,14.6914
Cold_2,13.7055
Cold_3,12.9274
Etha_1,13.6239
Etha_2,11.887
Etha_3,13.1794
SMMPr_1,14.8118
SMMPr_2,15.0005
SMMPr_3,15.0145
HiTm_1,14.246
HiTm_2,15.415
HiTm_3,16.0395
LoTm_1,14.8251
LoTm_2,14.9752
LoTm_3,14.82
HiOs_1,15.6358
HiOs_2,15.3877
HiOs_3,15.9211
Oxctl_1,14.3172
Oxctl_2,14.5
Oxctl_3,15.1306
Diami_1,15.0855
Diami_2,15.1799
Diami_3,15.223
Paraq_1,14.9505
Paraq_2,15.2736
Paraq_3,12.4034
H2O2_1,14.137
H2O2_2,15.1085
H2O2_3,14.7248
HPh_1,15.975
HPh_2,15.654000000000002
HPh_3,15.899
LPh_1,15.6505
LPh_2,15.9951
LPh_3,15.4601
LPhT_1,14.6977
LPhT_2,14.5027
LPhT_3,14.6916
aero_1,15.4395
aero_2,14.5321
aero_3,15.5816
nit_1,15.8256
nit_2,15.6016
nit_3,15.3204
ferm_1,15.4784
ferm_2,15.3864
ferm_3,15.5042
