,cyoA
Cr_1,-0.0067644166964232035
Cr_2,-0.01206046388336826
Cr_3,-0.019772646278219324
Cr_4,-0.022690204969190636
Cr_5,-0.02297217283811641
Cr_6,-0.02004127404690055
Fe_1,-0.012867063472679446
Fe_2,-0.03117695916239065
Fe_3,-0.034995873056344225
Fe_4,-0.029781514858295107
Fe_5,-0.014287486113972106
Fe_6,0.004675506254666465
Cd_1,-0.0025322317746495127
Cd_2,-0.005758230461508335
Cd_3,-0.008557601273479641
Cd_4,-0.01338718965579302
Cd_5,-0.020821952285723998
Cd_6,-0.023360420402246743
Zn_1,-0.0007930550512613978
Zn_2,-0.001840237070319752
Zn_3,0.006387549784098619
Zn_4,0.02170744416655352
Zn_5,0.04067996102738475
Zn_6,0.058641097491011276
Cu_1,0.0018334305491745238
Cu_2,-0.002004094087818137
Cu_3,-0.008052678680679545
Cu_4,-0.010386823760999605
Cu_5,-0.010283927791867715
Cu_6,-0.00839933218524166
Pb_1,-0.0009762407898740813
Pb_2,-0.001793575595168825
Pb_3,0.0028267346901926496
Pb_4,0.009180535144407984
Pb_5,0.011664302131382788
Pb_6,0.018056886429148676
