,-0.2339588486583103,-0.19142087617498116,-0.14888290369165202,-0.10634493120832289,-0.06380695872499376,-0.021268986241664622,0.02126898624166451,0.06380695872499365,0.10634493120832278,0.1488829036916519,0.19142087617498105,0.23395884865831018,0.2764968211416393,0.31903479362496845,0.3615727661082976,0.4041107385916267,0.44664871107495585,0.489186683558285,0.5317246560416141,0.5742626285249433
thresh,-0.25522783489997486,0.25522783489997486,9,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,2,1672,1539,6,0,0,0,0,0,0,0,0,0,0,0,0
TorR,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nac,0,0,0,0,0,238,205,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,1,233,232,8,0,0,0,0,0,0,0,0,0,0,0,0
TorR and Nac,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TorR and Crp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nac and Crp,0,0,0,0,0,30,32,2,0,0,0,0,0,0,0,0,0,0,0,0
"TorR, Nac, and Crp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TorR, Nac, Crp, and L-tryptophan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
TorR_genes,[],[],[],[],[],['torD' 'hdeA'],['torC' 'torR' 'yhiD' 'hdeB'],[],[],[],[],[],[],[],[],[],[],[],[],[]
