locus,gene_weight,gene_name,gene_product,cog,operon,regulator,L-tryptophan,Nac,TorR,Crp,link
b3708,0.5021761153000001,tnaA,tryptophanase,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,RplD,Nac,L-tryptophan",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11005
b3709,0.42673950520000004,tnaB,tryptophan:H(+) symporter TnaB,Amino acid transport and metabolism,tnaCAB,"RpoD,Crp,TorR,Nac,L-tryptophan",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11006
