,A,RcnR
R2,,0.41668167205335127
xmin,,-5.0974644827
xmid,,-3.2471493115554675
xmax,,3.1368283152
ystart,,-4.332264572169519
yend,,3.509672073689185
SRX1125282,-0.7109296112,-0.2565862696
SRX1125283,-0.3629662369,-0.5496210168
SRX1125284,-0.5258993482000001,-0.3269097812
SRX1125285,-0.8051043213,-0.19736250190000001
SRX1125286,1.3011335994,0.956494888
SRX1125287,2.8559401376,1.6951335052
SRX1125288,0.3668926595,0.3963148352
SRX1125289,0.9144762574,-0.1343359893
SRX1125290,-0.3835104931,-0.16053362440000002
SRX1125291,0.0668643629,0.6837803373
SRX1125292,1.5111430290999999,0.8924633532
SRX1125293,2.5108766341,1.818896276
SRX1125294,0.34403695170000004,-0.1397285656
SRX1125295,0.1646361576,0.3538394031
SRX1125296,-0.2626068989,0.06437710690000001
SRX1125297,-0.197730186,0.48018537
SRX1125298,1.5125821350000002,0.9617821071
SRX1125299,2.7320624264999998,1.9642195581
SRX5694250,0.23860586790000002,-1.1023750315
SRX5694251,2.4138710612,0.4029630322
SRX5694252,0.2311592144,0.031571233500000004
SRX5694253,0.7625086710000001,-0.48535953410000005
SRX5694254,0.4232356405,0.21686884650000002
SRX5694255,1.212577514,-0.1608846875
SRX5694256,0.8146472631,-0.9106906912
SRX5694257,-2.1491113506,-0.46479934170000003
SRX5694258,-0.5444956219,-0.8707632074
SRX5694259,4.9154180464,1.8927647172
SRX5694260,-0.0333264848,-0.6158777745
SRX5694261,-0.9245586899,-1.2898436165
SRX5694262,-1.4767144016,-0.0412331302
SRX5694263,-0.9278110903000001,-1.1592341192
SRX5694264,0.3404485849,-0.9283333707
SRX5694265,-0.6073445491,-0.7270630485
SRX5694267,1.1132098659,-0.1287378067
SRX5694268,-0.0631324154,-0.6480983676000001
SRX5694269,-1.4451292779,-0.8039305901
SRX5694271,-0.15281705810000001,-0.2487293077
SRX5694273,1.7481663389,-0.6227715187
SRX5694274,-0.9920633946,-1.1599730638
SRX5694275,-1.8069382807,-3.4600390043
SRX5694276,3.6595400624,0.9437769828
SRX5694277,-1.2002253713,-1.2227699444
SRX5694278,0.8836262881,0.587876823
SRX5694279,-0.4052605413,-0.4811477348
SRX5694280,-1.400904964,-2.5540113
SRX5694281,-1.4971476708,-1.2576828406
SRX5694282,1.4432915871,-1.92955436
SRX5694283,-1.1273801813,-0.6519986705
SRX5694284,-0.24662528690000002,-0.5151464495
SRX5694285,-0.4193628868,-1.0544451177
SRX5694286,-1.2944600844,-1.7613819442
SRX5694287,0.5894588494,0.4195289867
SRX5694288,-0.3934764002,-0.6824976401
SRX5694289,0.0258125185,-0.37622481750000003
SRX5694290,-0.1048397486,-0.9497385071000001
SRX5694291,0.9368580976,-1.1616521754
SRX5694292,-1.1846913732,-0.4971924896
SRX5694293,-0.0265055356,-0.1002469574
SRX5694294,-0.2093525981,-0.0054176626
SRX5694295,2.1709664227,0.3908667535
SRX5694296,-0.48946184940000004,-0.5691863106
SRX5694297,1.2664247746,0.7083942671
SRX5694298,-0.8516887885000001,-1.1175161984
SRX5694299,-1.4974920976,-0.5609233220000001
SRX5694300,-1.0048240157,-0.5267797654
SRX5694301,-2.5436790441,-2.6503767888
SRX5694302,-0.647294774,-1.1579293029
SRX5694303,-0.60138943,-0.9401868557
SRX5694304,-0.8434969316,-0.7459512438
SRX5694305,3.3631245271,1.6640992407000001
SRX5694306,1.7972128719,-0.1886424062
SRX5694307,3.0469257823,-0.5419286603
SRX5694308,0.9986672715,0.14983231500000002
SRX5694309,3.6324824872,0.9562608532
SRX5694310,-0.7612466675,-1.7594632549
SRX5694311,4.9334826565,1.7517718227999999
SRX5694312,1.9717226434000001,-0.8087225498
SRX5694313,1.5961223995,0.7014419057
SRX5694315,-0.9380393394000001,-0.8064180788
SRX5694317,0.8980853826,0.4222545802
SRX5694319,0.33213912370000004,-0.8955394175
SRX5694320,0.2435972103,-0.700698887
SRX5694321,1.0915947172,0.3534968929
SRX5694322,1.7149549034,0.9630206847
SRX5694323,1.4096318198,0.1394267599
SRX5694324,3.9231423003,1.0188880234
SRX5694325,1.1141016177,-0.7951656530000001
SRX5694326,0.18376360360000002,-0.9467138379000001
SRX5694327,-0.694444393,-1.7887744832
SRX5694328,-0.2405427384,-0.307221071
SRX5694329,1.4598254640000001,0.2882691374
SRX5694330,0.32067296840000004,0.7220736445
SRX5694331,-0.5241180699,-0.4145973188
SRX5694332,0.3138093954,0.1715285716
SRX5694334,0.683070676,-0.157974671
SRX5694335,0.9686418086,0.8106812396
SRX5694336,2.3794949596,1.4916540111
SRX5694337,3.2841399877,-2.0291260117
SRX5694338,-1.2748758087,-1.3822489385
SRX5694339,-0.5843502172,-0.8040832627000001
SRX5694340,-2.119528518,-2.4612994918
SRX5694341,3.8950632076,1.2263919681
SRX5694342,0.6585513181,0.8659835446
SRX5694343,0.7028024915000001,0.8870716468000001
SRX5694344,1.4408376068,-0.6044522315
SRX5694345,0.401381719,-0.7737555340000001
SRX5694346,-0.1266749318,0.32304340260000003
SRX5694347,-0.3935601758,-0.7245541887
SRX5694348,-1.4313522182,-1.3339377849
SRX5694349,-2.4925435557,-3.0678211261
SRX5694350,-1.6968169109,-0.0977316347
SRX5694351,1.9491408845,-0.12118761
SRX5694352,-0.4440577003,-1.4155691511000001
SRX5694353,-1.1329289928,-1.0141316067
SRX5694354,-0.3467506279,-1.5377201441000001
SRX5694356,-0.9517353045,-0.9668993428
SRX5694357,-1.4740476311,0.0978709467
SRX5694358,0.1304456058,-1.1039750503
SRX5694359,-3.9074778143,-3.228294575
SRX5694360,-1.4222807769,-1.0649287268
SRX5694361,3.6778489719,1.2579092835
SRX5694362,0.3525416091,-1.7948861415000001
SRX5694363,-0.2435707179,-0.29330122200000003
SRX5694364,2.3946732299,1.2076849191
SRX5694365,1.0717047357,-0.24304451430000001
SRX5694366,-0.823248933,-0.8731971318
SRX5694367,1.7571765677000002,-0.250060238
SRX5694368,-0.21962144420000002,-1.3115411775
SRX5694369,-0.9804722475000001,-1.3466509096000001
SRX5694370,-1.2390046154,-0.9197540977
SRX5694371,3.0772812646,0.5060526906
SRX5694372,-1.1051789284,-2.2841440885
SRX5694373,-0.2526868798,0.4347946856
SRX5694374,0.090646867,-1.7346140042
SRX5694375,-1.9929885366,-1.6165464936
SRX5694376,1.2525818786,0.5197495797
SRX5694377,0.3409674447,-0.3607987133
SRX5694378,-1.1500131609,-1.6142368535
SRX5694379,-2.4394739321,-3.0354248253
SRX5694380,0.6726191523,0.5609185915
SRX5694381,0.24808008180000002,0.434350324
SRX5694382,0.8581753875,-0.0239943968
SRX5694383,-1.6746498636,-2.5383274181
SRX5694384,0.1042675186,-0.3707540198
SRX5694385,-1.8819769699000002,-1.9617526506
SRX5694386,3.9040714763,0.6774329152
SRX5694387,-0.461726018,-0.7683186293000001
SRX5694388,3.1018053011,1.0959381378
SRX5694389,-2.5437115508,-2.6996576043
SRX5694390,-1.4380023126,-1.6952286101
SRX5694391,0.0627169617,0.3569199686
SRX5694392,-2.3910685473,-1.9014588475
SRX5694393,-0.5448172788,-0.37267689670000004
SRX5694394,-1.1651536839,-1.214241737
SRX5694395,0.8409956940000001,-0.1693441906
SRX5694396,1.6368722542,-0.1309686084
SRX5694397,-1.3105886323,-1.8883743057
SRX5694398,-1.5331051983,-2.2264887431
SRX5694399,-0.47907827020000004,-0.341829673
SRX5694400,-1.3417520280000002,-1.6954530889
SRX5694401,-0.391914399,-0.4107444651
SRX5694402,3.5027137753,0.2799563105
SRX5694403,0.7464955974,-0.5916738674
SRX5694404,-2.554952005,-1.0139659071
SRX5694405,-0.2070400437,0.14064681610000002
SRX5694406,1.9279985479000001,0.46434813680000003
SRX5694407,2.175337952,-0.6438563654
SRX5694408,0.4321008214,-1.5316179361
SRX5694409,4.4396309408,1.8083265509
SRX5694410,-0.8122354623,0.2186858283
SRX5694411,0.066086641,-1.3973221385
SRX5694412,-2.6653400554999997,-3.5839449243
SRX5694413,-0.2844506321,-0.14359814910000002
SRX5694414,0.0695466103,0.2323724258
SRX5694415,-1.8761648267000002,-1.4445759018
SRX5694416,-0.40381989090000003,-0.262908476
SRX5694417,0.7976820410000001,0.0335235809
SRX5694418,3.711586629,0.3453349549
SRX5694419,1.4787851272,1.0521593043
SRX5694420,-0.300643625,0.1159961405
SRX5694421,1.0064759328,-1.3946167271
SRX5694422,-1.164244298,-1.0881277237
SRX5694423,-0.3183891725,-1.7230330302999999
SRX5694424,-0.8290641038000001,-1.9824431301
SRX5694425,-1.6255656881,-2.0203874458
SRX5694426,0.49009409330000003,0.3272241976
SRX5694427,0.40864937370000004,-0.8547955769000001
SRX5694428,-2.1939660789,-0.8670242164
SRX5694429,0.3111705107,-1.6526087615
SRX5694430,-0.0494183897,-0.48197564070000004
SRX5694431,-0.6310305808000001,0.2001133032
SRX5694432,-0.9175126438000001,-1.2472713359
SRX5694433,2.3264836118,1.1679949807
SRX5694434,1.2118055929,0.47251815300000005
SRX5694435,2.2516598734,0.1818604598
SRX5694436,4.6014463036,1.4541027726
SRX5694437,1.9101482405999999,1.1545652342000001
SRX5694438,-1.448653351,-0.7446523625
SRX5694439,-0.0463125779,-0.143478031
SRX5694440,0.3084251773,-0.9957854156
SRX5694441,2.121009014,0.07143336580000001
SRX5694442,3.5913221348,1.0229293033
SRX5694443,0.0590951243,-1.2674376311
SRX5694444,-2.6994907681,-2.4571503019
SRX5694445,4.5910859601,1.2415187140000001
SRX5694446,-1.3366465562,-0.9295975001000001
SRX5694447,-1.8444381214,-2.1215343907
SRX5694448,3.0043821283,0.3778118791
SRX5694449,0.1113796408,-0.5764256889
SRX5694450,-0.3932765332,-1.2395235835
SRX5694451,-1.356642066,-1.2671768532
SRX5694452,1.526313194,-0.3199024118
SRX5694453,3.2017453469,0.9810564695
SRX5694454,-0.21645294950000002,-0.1080548607
SRX5694455,0.9399930310000001,0.6700432226
SRX5694456,0.2259615808,-0.2723021714
SRX5694457,0.3688231113,-0.2506050112
SRX5694459,0.14205331370000002,-0.6901321466
SRX5694460,1.900736646,0.8733777494
SRX5694461,-0.9223743390000001,-2.3446458746
SRX5694462,1.2988328427,-0.4276288784
SRX5694463,-0.5496705774,-1.1270366907
SRX5694464,-2.0770844966,-1.8209999908999999
SRX5694465,-0.25444267530000003,-1.7109742412000002
SRX5694466,1.1012960281,0.1318841861
SRX5694467,-1.09605791,-1.0112399737
SRX5694468,0.4502188553,-1.2711124172
SRX5694469,0.4522682713,-0.0332574609
SRX5694470,0.36301611370000003,0.2221692626
SRX5694471,-0.520394311,-0.41830953060000003
SRX5694472,0.2840044378,-0.0279955406
SRX5694474,0.4259417305,-0.8977461731
SRX5694475,-0.5186464660000001,-1.0033659804
SRX5694476,-1.303178108,-0.6163760624
SRX5694477,0.9046595721,-0.2468041729
SRX5694478,-2.2433383249,-2.0528269749
SRX5694479,0.5365098998,0.3708028511
SRX5694480,1.4073934232,0.48570607200000004
SRX5694481,-1.4501378559,-1.3455859489
SRX5694482,-0.43845640500000005,-0.8970227321
SRX5694483,0.3392156945,-1.1133693636
SRX5694484,-2.3143018078,-0.49165922840000004
SRX5694485,-0.42621781950000004,0.5986388979
SRX5694486,-0.4228973594,-0.3268958086
SRX5694487,-1.1857523102,-0.9539591551000001
SRX5694488,-1.5331084455,-1.3918137391
SRX5694489,-0.6980485397,-0.8278416646000001
SRX5694491,1.8508056926,-0.7003950028
SRX5694492,3.2898043438,0.8455276509
SRX5694493,1.6015088414,-0.6526964993000001
SRX5694494,0.2349873829,-0.6410171215
SRX5694495,0.1510350445,0.107014985
SRX5694496,-0.5464445578,-0.9314998338
SRX5694497,0.7233388925,-0.9144270539
SRX5694498,0.4189645239,-1.3474813808000001
SRX5694499,-0.4794220468,-5.0974644827
