,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,-2.220446049250313e-16,7.5406912775675945,3.0,0.0,6.6694422042,2.0,-8.1824969279,4.0,1.5130547237,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,7.760160669933334,1.9670865222264082,3.0,1.0,5.8174821585,3.0,7.7122209958,5.0,9.7507788555,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,4.8395671857,2.292258923471813,4.0,6.0,4.5895694836,20.0,4.3418069536,40.0,2.4590389704,63.0,7.9678533352,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,4.751204013,0.6288413880369278,4.0,7.0,4.7447453187,33.0,5.562829043,81.0,4.6675261256,82.0,4.0297155647,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-34.383648665525,2.812161970502669,4.0,8.0,-34.8325967784,51.0,-34.7557529122,65.0,-37.3678010698,76.0,-30.5784439017,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-31.650806553033334,4.733871302967629,3.0,9.0,-34.9346640629,22.0,-26.2244693365,49.0,-33.7932862597,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,1.492650591,1.1026228908336666,2.0,10.0,0.7129784678000001,26.0,2.2723227142,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-37.0031522313,0.2587547245477469,3.0,11.0,-36.7264332269,54.0,-37.2391024704,83.0,-37.0439209966,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-35.384574109625,1.7203240255429986,4.0,12.0,-36.0427931666,48.0,-35.8323428827,64.0,-36.7851910204,78.0,-32.8779693688,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,1.678198484725,1.2642686359114668,4.0,13.0,0.12161130590000001,38.0,3.1230568182,67.0,1.3610316521999999,72.0,2.1070941626,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,5.495985570233334,1.0523302552461091,3.0,14.0,5.6851669899,41.0,4.3618965396,85.0,6.4408931812,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,5.310809304325,1.6347056483518132,4.0,15.0,4.0743526335,52.0,4.4388587075,71.0,7.6888282812,80.0,5.0411975951,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,-35.29711980873333,1.7063577075708725,3.0,16.0,-36.6582900523,53.0,-35.8502560097,77.0,-33.3828133642,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,-37.302052181066664,0.6765994429813793,3.0,17.0,-38.0176768953,50.0,-37.215713133,66.0,-36.6727665149,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,-31.730295684433333,4.372318128224043,3.0,18.0,-27.5106021097,25.0,-36.2407268623,62.0,-31.4395580813,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,1.4458136187000001,0.7110108789589021,4.0,19.0,0.7315719021,28.0,1.0931939656,56.0,1.583623924,73.0,2.3748646831,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,-33.37766322465,3.763242722575935,4.0,21.0,-29.9050396812,34.0,-36.5030969632,45.0,-36.7604844091,58.0,-30.3420318451,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,5.5940624754999995,0.49042653223207866,4.0,23.0,5.479178371,42.0,6.3119714338,70.0,5.3671939818,79.0,5.2179061154,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,2.19620423665,0.6721329682918205,4.0,24.0,2.5736360429,29.0,1.4304369847,68.0,2.9152680061,74.0,1.8654759129,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,3.7504813569,1.2399472262524693,4.0,27.0,3.8977445927,31.0,5.4333856817,69.0,3.0400891674,75.0,2.6307059858,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,-32.63276130255,4.911874514092237,4.0,30.0,-28.3012382055,32.0,-36.3328601581,59.0,-28.4916044798,86.0,-37.4053423668,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,-34.7528122621,,1.0,35.0,-34.7528122621,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,-32.803864347324996,4.319464717324394,4.0,36.0,-35.7354046303,44.0,-37.2141195463,60.0,-29.8322757413,61.0,-28.4336574714,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,4.4994390158148434e-18,0.35318761702705936,4.0,37.0,0.4988013383,46.0,-0.21729224700000002,57.0,-0.2796467674,84.0,-0.0018623239,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,3.0532125691500003,0.5338726062229734,2.0,39.0,2.675707629,43.0,3.4307175093,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,-3.8950062399,11.390398420284912,2.0,47.0,4.1592217235,55.0,-11.9492342033,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,0.0,1.5817274582621654,3.0,87.0,-1.3742844369,90.0,-0.3546679692,93.0,1.7289524061,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,1.7734114657666666,0.9689381414615421,3.0,88.0,0.7094819960000001,91.0,2.005573458,94.0,2.6051789433,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,9.218585719633333,1.1078233329475802,3.0,89.0,9.7926985655,92.0,7.941545273,95.0,9.9215133204,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,0.0,1.7715260939768112,4.0,96.0,1.9118498931,97.0,-1.5079238377,98.0,-1.5066338026000001,99.0,1.1027077472,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,0.19555478405,0.09427951325559754,2.0,100.0,0.26222046720000003,104.0,0.1288891009,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,0.18413530835,0.8940792133107994,2.0,101.0,-0.4480741663,105.0,0.816344783,,,,,,,,,,,,,,,,,,,,,,,,
32,immunity_isolated__WT_WT,0.0,1.6793740705795972,12.0,102.0,0.2932431835,110.0,-1.3673693248,117.0,2.6186539998000002,125.0,0.2956481745,131.0,-0.2816552624,134.0,0.45700909570000003,138.0,-0.4361354911,159.0,1.9574904245,162.0,1.7834660249,164.0,-0.6465783708,170.0,-3.6198055256,174.0,-1.0539669282,,,,
33,immunity_isolated__WT_npr1,-0.20061474510000002,0.12195184064745972,2.0,103.0,-0.1143817716,126.0,-0.2868477186,,,,,,,,,,,,,,,,,,,,,,,,
