,A,PvdS
R2,,0.7961128057618215
xmin,,-5.8710048592
xmid,,
xmax,,2.1781340866
ystart,,-50.282686941571406
yend,,16.15084442741598
algU_regulon__empty_vector__1.0,6.6694422042,0.7241295253000001
algU_regulon__algU_overexpression__1.0,5.8174821585,0.4864651754
algU_regulon__empty_vector__2.0,-8.1824969279,-0.8504747373
algU_regulon__algU_overexpression__2.0,7.7122209958,0.8126890231
algU_regulon__empty_vector__3.0,1.5130547237,0.126345212
algU_regulon__algU_overexpression__3.0,9.7507788555,2.1781340866
co_culture__c_viol_40__1.0,4.5895694836,1.6726867730000001
co_culture__c_viol_12.5__1.0,4.7447453187,1.2554880476
co_culture__b_thai_30__1.0,-34.8325967784,-3.3229611728
co_culture__b_thai_25__1.0,-34.9346640629,-2.7402255229
co_culture__mono_30__1.0,0.7129784678000001,0.34488527020000004
co_culture__b_thai_12.5__1.0,-36.7264332269,-4.0897690713
co_culture__b_thai_35__1.0,-36.0427931666,-3.5752236898
co_culture__mono_25__1.0,0.12161130590000001,0.1536756571
co_culture__c_viol_30__1.0,5.6851669899,1.5981943229
co_culture__c_viol_35__1.0,4.0743526335,1.3193232413
co_culture__b_thai_40__1.0,-36.6582900523,-3.7688716813000003
co_culture__b_thai_45__1.0,-38.0176768953,-4.2465371067
co_culture__b_thai_c_viol_40__1.0,-27.5106021097,-1.4123782424
co_culture__mono_35__1.0,0.7315719021,0.4187590986
co_culture__c_viol_40__2.0,4.3418069536,1.4658418173
co_culture__b_thai_c_viol_45__1.0,-29.9050396812,-1.5627311684
co_culture__b_thai_25__2.0,-26.2244693365,-1.263578633
co_culture__c_viol_25__1.0,5.479178371,1.3722112848
co_culture__mono_45__1.0,2.5736360429,-0.3095578013
co_culture__b_thai_c_viol_40__2.0,-36.2407268623,-2.9985963291
co_culture__mono_30__2.0,2.2723227142,0.08955171690000001
co_culture__mono_40__1.0,3.8977445927,0.0992345664
co_culture__mono_35__2.0,1.0931939656,-0.6884929314
co_culture__mono_45__2.0,1.4304369847,0.7661303573
co_culture__b_thai_c_viol_35__1.0,-28.3012382055,-1.6353335073
co_culture__mono_40__2.0,5.4333856817,1.0925229161
co_culture__b_thai_c_viol_35__2.0,-36.3328601581,-2.9662786228
co_culture__c_viol_12.5__2.0,5.562829043,1.1737712258
co_culture__b_thai_c_viol_45__2.0,-36.5030969632,-2.5833503865000003
co_culture__b_thai_c_viol_25__1.0,-34.7528122621,-3.367958969
co_culture__b_thai_c_viol_30__1.0,-35.7354046303,-3.3263682853
co_culture__mono_12.5__1.0,0.4988013383,0.1132582189
co_culture__mono_25__2.0,3.1230568182,0.3880620917
co_culture__c_viol_45__1.0,2.675707629,1.487035785
co_culture__c_viol_40__3.0,2.4590389704,1.415065148
co_culture__c_viol_30__2.0,4.3618965396,1.3890967337
co_culture__c_viol_25__2.0,6.3119714338,1.5043249872
co_culture__c_viol_45__2.0,3.4307175093,1.3408544655
co_culture__b_thai_c_viol_30__2.0,-37.2141195463,-4.0336886484
co_culture__b_thai_c_viol_45__3.0,-36.7604844091,-5.3277926789
co_culture__mono_12.5__2.0,-0.21729224700000002,-0.021363749600000002
co_culture__b_thai_c_viol_12.5__1.0,4.1592217235,0.6116273764
co_culture__b_thai_35__2.0,-35.8323428827,-2.5416245132
co_culture__b_thai_25__3.0,-33.7932862597,-4.8349924376
co_culture__b_thai_45__2.0,-37.215713133,-4.0097630908
co_culture__b_thai_30__2.0,-34.7557529122,-2.4035935876
co_culture__c_viol_35__2.0,4.4388587075,1.3854562564
co_culture__b_thai_40__2.0,-35.8502560097,-3.0812603505
co_culture__b_thai_12.5__2.0,-37.2391024704,-3.2272133789
co_culture__b_thai_c_viol_12.5__2.0,-11.9492342033,-0.3713983219
co_culture__mono_35__3.0,1.583623924,-0.09638966880000001
co_culture__mono_12.5__3.0,-0.2796467674,0.023939037
co_culture__b_thai_c_viol_45__4.0,-30.3420318451,-0.8095366462
co_culture__b_thai_c_viol_35__3.0,-28.4916044798,-1.3410768685
co_culture__b_thai_c_viol_30__3.0,-29.8322757413,-1.400644883
co_culture__b_thai_c_viol_30__4.0,-28.4336574714,-1.5622959218
co_culture__b_thai_c_viol_40__3.0,-31.4395580813,0.1505956256
co_culture__c_viol_40__4.0,7.9678533352,1.9270794606
co_culture__b_thai_35__3.0,-36.7851910204,-3.2991231743
co_culture__b_thai_30__3.0,-37.3678010698,-3.2859763992
co_culture__b_thai_45__3.0,-36.6727665149,-3.528328518
co_culture__mono_25__3.0,1.3610316521999999,-0.1684998544
co_culture__mono_45__3.0,2.9152680061,-0.12351843200000001
co_culture__mono_40__3.0,3.0400891674,-0.2249612765
co_culture__c_viol_25__3.0,5.3671939818,1.1466354258
co_culture__c_viol_35__3.0,7.6888282812,1.6256873705000001
