,dgt
Cr_1,-0.0003736987747847466
Cr_2,0.003193773628190116
Cr_3,0.003102549706561164
Cr_4,-0.009874193964137816
Cr_5,-0.016121752202862532
Cr_6,-0.012148269150916314
Fe_1,-0.024691021349655597
Fe_2,-0.028362283107172308
Fe_3,0.004901798746180928
Fe_4,0.03210003849293059
Fe_5,0.04964986586056855
Fe_6,0.0796054037825857
Cd_1,0.00222592158848487
Cd_2,0.016036842851530602
Cd_3,0.015427662472343697
Cd_4,0.021780959780688385
Cd_5,0.028633513614436064
Cd_6,0.041653599483392
Zn_1,-0.013461691880255935
Zn_2,-0.007534971457745719
Zn_3,-0.01615394088535935
Zn_4,0.029378551132873843
Zn_5,0.06341419403513303
Zn_6,0.027852298411638925
Cu_1,0.006608481045717261
Cu_2,0.010643681478520826
Cu_3,0.012178244115473604
Cu_4,0.01222891692068068
Cu_5,0.02645055485828681
Cu_6,0.0448615215476124
Pb_1,-0.0075151248017128625
Pb_2,-0.0035690418889900923
Pb_3,0.01594266118196939
Pb_4,0.0203363171830989
Pb_5,0.03274001352870848
Pb_6,0.04149027836463338
