,fadE
Cr_1,-0.005257672017801417
Cr_2,-0.010603764554864021
Cr_3,-0.017064871271881797
Cr_4,-0.022656232390866584
Cr_5,-0.028949276637272838
Cr_6,-0.03851953690045426
Fe_1,-0.0185507224231281
Fe_2,-0.03599355705874258
Fe_3,-0.05512761053797872
Fe_4,-0.07537656940058507
Fe_5,-0.08963630710711988
Fe_6,-0.0944169757945053
Cd_1,0.0038941800281743467
Cd_2,0.0073211100272288655
Cd_3,0.009100921454266707
Cd_4,0.007865189081992786
Cd_5,0.006844875392554947
Cd_6,0.005112899932002125
Zn_1,-0.006196988264246447
Zn_2,-0.012901572724716346
Zn_3,-0.02303698357728049
Zn_4,-0.0353204192447274
Zn_5,-0.04652854613627906
Zn_6,-0.050521566829753034
Cu_1,0.014552601135528725
Cu_2,0.025424588863562282
Cu_3,0.03269500436079152
Cu_4,0.039770511337692264
Cu_5,0.051554349547151934
Cu_6,0.056063314820049295
Pb_1,0.00542244329662995
Pb_2,0.005780344209303246
Pb_3,0.007204012441900234
Pb_4,0.010172499580460622
Pb_5,0.0320717356353911
Pb_6,0.06687474623129934
