,b4038_3
control__wt_glc__1,0.9593604305000001
control__wt_glc__2,0.4455568332
fur__wt_dpd__1,0.6550985253
fur__wt_dpd__2,0.3099297445
fur__wt_fe__1,0.42188576990000004
fur__wt_fe__2,0.4823802203
fur__delfur_dpd__1,0.0
fur__delfur_dpd__2,1.0327678592
fur__delfur_fe2__1,0.6601484459
fur__delfur_fe2__2,0.6824540663
acid__wt_ph5__1,0.3066615629
acid__wt_ph5__2,0.9453183242000001
acid__delgadx_ph5__1,0.3911095993
acid__delgadx_ph5__2,0.1983033804
acid__delgadw_ph5__1,0.3010310426
acid__delgadw_ph5__2,0.37976135040000003
acid__delgade_ph5__1,0.5455217877
acid__delgade_ph5__2,0.9179173539000001
oxidative__wt_pq__1,0.0
oxidative__wt_pq__2,0.4017666515
oxidative__deloxyr_pq__1,0.0
oxidative__deloxyr_pq__2,0.5121881338000001
oxidative__delsoxr_pq__1,0.0
oxidative__delsoxr_pq__2,0.2495797739
oxidative__delsoxs_pq__1,0.0
oxidative__delsoxs_pq__2,0.3066230898
nac_ntrc__wt_csn__1,0.6946648906
nac_ntrc__wt_csn__2,0.5156029693
nac_ntrc__wt_cytd__1,0.7173014341
nac_ntrc__wt_cytd__2,0.5715796982
nac_ntrc__wt_gln__1,0.6960737483
nac_ntrc__wt_gln__2,0.2706274953
nac_ntrc__bw_delnac_csn__1,1.2218347004
nac_ntrc__bw_delnac_csn__2,0.0
nac_ntrc__bw_delnac_cytd__1,0.0
nac_ntrc__bw_delnac_cytd__2,0.8505640094
nac_ntrc__bw_delnac_gln__1,0.430000158
nac_ntrc__bw_delnac_gln__2,0.4614956589
nac_ntrc__bw_delnac_nh4__1,0.4396015985
nac_ntrc__bw_delnac_nh4__2,0.7133875413
misc__wt_no_te__1,0.4125303199
misc__wt_no_te__2,0.32837397690000003
misc__bw_delcbl__1,0.4095407673
misc__bw_delcbl__2,0.7533790806
misc__bw_delfabr__1,0.476823877
misc__bw_delfabr__2,0.2581564621
misc__bw_delfadr__1,0.0
misc__bw_delfadr__2,0.2896162228
misc__nitr_031__1,0.2336091982
omics__wt_glu__1,0.7368522761
omics__wt_glu__2,0.7993748386
omics__wt_gly__1,0.6276117635
omics__wt_gly__2,0.9656829655
omics__wt_thr__1,3.2465332084
omics__wt_thr__2,2.8864768237
omics__bw_ac__1,0.6434539875
omics__bw_ac__2,0.25131659430000003
omics__bw_fum__1,0.5491814098000001
omics__bw_fum__2,1.1472013586
omics__bw_glc__1,0.0
omics__bw_glc__2,0.207241795
omics__bw_pyr__1,0.2626505601
omics__bw_pyr__2,0.9420893125
ompr__wt_nacl__1,0.251167804
ompr__wt_nacl__2,0.750004809
ompr__bw_delompr_nacl__1,0.8745572498
ompr__bw_delompr_nacl__2,0.8398706429
minspan__wt_ade__1,1.4245203349
minspan__wt_glc__1,1.4946405817000001
minspan__wt_glc__2,1.1752162454
minspan__wt_glc__3,1.1918582347
minspan__wt_glc__4,0.8436691298000001
minspan__wt_glc_anaero__1,0.8438092866
minspan__wt_glc_anaero__2,0.0
minspan__wt_trp__1,1.8300853632
minspan__bw_delcra_glc__1,1.2944788841000001
minspan__bw_delcra_glc__2,1.6929673919
minspan__bw_delcra_trp__1,2.1162925381
minspan__bw_delmntr__1,0.6920619343000001
minspan__bw_delnac_ade__1,0.4813660162
minspan__bw_delnac_glc__1,2.4265363872
cra_crp__wt_ac__1,0.9023083425
cra_crp__wt_ac__2,0.4745718687
cra_crp__wt_fru__1,0.4980409337
cra_crp__wt_fru__2,0.8436497558
cra_crp__delcra_ac__1,0.45223496620000003
cra_crp__delcra_ac__2,0.6586746596
cra_crp__delcra_fru__1,0.44671881700000005
cra_crp__delcra_fru__2,0.21074370280000002
