,pepN
Cr_1,0.005651777424462507
Cr_2,0.011464412627336069
Cr_3,0.019054806174788202
Cr_4,0.029098966394088762
Cr_5,0.03704650028092615
Cr_6,0.04300843716452487
Fe_1,-0.012040049856594076
Fe_2,-0.02298585463245292
Fe_3,-0.0277838870217397
Fe_4,-0.03080757737225117
Fe_5,-0.02701684588397089
Fe_6,-0.020458538512281105
Cd_1,-0.0003224740720542597
Cd_2,0.00048196939115231936
Cd_3,0.00022840615835819023
Cd_4,-0.002151379676255176
Cd_5,-0.0073647427103105565
Cd_6,-0.005230936027432781
Zn_1,0.0016296926586647864
Zn_2,-0.00033510506161354503
Zn_3,0.003500199199251664
Zn_4,0.008589711795667209
Zn_5,0.01715293089132688
Zn_6,0.02282029390141281
Cu_1,0.004362123088902789
Cu_2,0.01091319590430524
Cu_3,0.01884401977231657
Cu_4,0.02226296440232036
Cu_5,0.026427230393824774
Cu_6,0.0295395975626242
Pb_1,0.0024848699789376013
Pb_2,0.007616093570730245
Pb_3,0.0075193183242255185
Pb_4,0.01293331087498947
Pb_5,0.018340202654623158
Pb_6,0.01971254597443586
